feature,importance
frame_index,0.06538064957088434
Feature_2,0.05848359692031868
Feature_1,0.053266206684525565
Tail_end_2_y,0.046565796264190114
Tail_base_2_y,0.04610531478923365
Tail_end_2_x,0.0416681086598733
Lat_right_2_y,0.0360805050599764
Tail_end_1_x,0.03242464179058926
Center_2_y,0.031629665826173145
Tail_base_2_x,0.03060601333817138
Lat_right_1_y,0.03055563418027036
Lat_right_2_x,0.02674927237780289
Center_2_x,0.02584908607777953
Ear_right_2_y,0.025270072663286097
Ear_right_1_y,0.02460975029905645
Lat_left_1_x,0.024466375813917626
Tail_base_1_x,0.023166376106306803
Ear_right_1_x,0.023056446795126487
Ear_left_1_x,0.022941153026931647
Lat_left_2_x,0.022255604890050372
Center_1_y,0.022185653654780344
Ear_right_2_x,0.021983682479718502
Center_1_x,0.021752469258416198
Lat_right_1_x,0.021742592428328447
Ear_left_1_y,0.020774437820285367
Nose_2_y,0.020086856905120184
Lat_left_2_y,0.019305188666170245
Nose_1_y,0.01852816945962517
Nose_2_x,0.01848554648850919
Ear_left_2_x,0.01839444590936834
Nose_1_x,0.01751797201525925
Lat_left_1_y,0.017320440646975778
Ear_left_2_y,0.017247903025968164
Tail_base_1_y,0.01648712978249479
Tail_end_1_y,0.010242670302221387
Tail_end_2_p,0.007073336529898456
Tail_base_1_p,0.0026084406400076854
Lat_left_1_p,0.0023269468974620824
Tail_base_2_p,0.002157280646310863
Tail_end_1_p,0.0021104532267178237
Ear_left_1_p,0.0013818809034745435
Ear_right_2_p,0.0013701585417209105
Lat_left_2_p,0.0013535849321414458
Center_1_p,0.0011783537136256204
Nose_2_p,0.0010423375355750283
Lat_right_1_p,0.0010312886380519383
Center_2_p,0.0009840398357958493
Ear_left_2_p,0.0007143894798659942
Lat_right_2_p,0.0006966127161753473
Nose_1_p,0.00045509676572239277
Ear_right_1_p,0.00033036901974866175
