hex_id,base_cost,derisk_cost,high_cost,derisk_savings,highrate_penalty
hex_000,6.067014145130747,5.175331456704673,7.387121477348085,0.8916826884260738,1.3201073322173382
hex_001,5.461341490422383,4.677876718734452,6.621168546376167,0.7834647716879308,1.1598270559537847
hex_002,6.078149295989156,5.165417970419168,7.429999347939584,0.9127313255699878,1.3518500519504286
hex_003,6.068953700213429,5.1644632101608305,7.40798401644334,0.9044904900525985,1.3390303162299109
hex_004,6.02129414333161,5.131166098680484,7.339256665695899,0.8901280446511262,1.3179625223642892
hex_005,5.803071016760106,4.9543510547795675,7.059501658431119,0.8487199619805388,1.2564306416710131
hex_006,6.982600590439996,5.910561591238291,8.569861791729043,1.0720389992017054,1.5872612012890466
hex_007,6.793362223155667,5.755554778804419,8.329661127126796,1.0378074443512482,1.5362989039711286
hex_008,7.2202144882503525,6.12453015868799,8.841978241532555,1.0956843295623626,1.6217637532822025
hex_009,6.8973181985004395,5.84798013240012,8.45046558275016,1.0493380661003195,1.553147384249721
hex_010,5.294564689353019,4.533169575371792,6.422087463034197,0.7613951139812274,1.1275227736811777
hex_011,6.752675319935512,5.7300454612395075,8.26622665325734,1.0226298586960043,1.5135513333218276
hex_012,6.541023428015916,5.544098772276606,8.017068003256027,0.9969246557393099,1.4760445752401106
hex_013,5.494166902113654,4.69252997068786,6.681669280175712,0.8016369314257936,1.1875023780620584
hex_014,6.479943944928714,5.498776302959502,7.932434899602481,0.9811676419692121,1.4524909546737668
hex_015,5.212572448334284,4.45278043389004,6.337658752206757,0.759792014444244,1.1250863038724725
hex_016,6.649543981356513,5.6496012240215485,8.129589240158854,0.9999427573349644,1.480045258802341
hex_017,5.912711137912089,5.049445937024099,7.1905867768258505,0.86326520088799,1.2778756389137618
hex_018,6.665469891785313,5.65053565522127,8.167986609628866,1.0149342365640432,1.5025167178435526
hex_019,6.1675331300633705,5.248497238332426,7.5278314067343715,0.9190358917309442,1.360298276671001
hex_020,5.166269754828417,4.4245353469496,6.264679313838745,0.7417344078788171,1.098409559010328
hex_021,7.614798850511252,6.447367136010932,9.342954858091794,1.16743171450032,1.7281560075805418
hex_022,5.3988044642181565,4.6135100416745605,6.561646321536352,0.785294422543596,1.1628418573181953
hex_023,6.0770890103978426,5.169689829919447,7.4203124580068955,0.9073991804783956,1.343223447609053
hex_024,6.276099916992881,5.324964321632828,7.6843092306521585,0.9511355953600527,1.4082093136592775
hex_025,7.035815518754402,5.952056911780538,8.640388710317685,1.0837586069738636,1.6045731915632837
hex_026,6.26786349374562,5.321155704148166,7.669553637515411,0.946707789597454,1.401690143769791
hex_027,6.260543625007726,5.335355099307684,7.629919407503676,0.9251885257000421,1.3693757824959505
hex_028,5.978290638071342,5.0869052950178695,7.297823926571608,0.8913853430534724,1.3195332885002662
hex_029,5.925480283160856,5.050263787209032,7.221096931907985,0.8752164959518236,1.2956166487471288
