cell_id,vaccine_element,p_response_mean,p_response_std,p_response_median,n_reps
0,mut11,0.2147301030315522,0.35063695413055307,1.7999984690542092e-06,10
0,mut12,0.14671053026437758,0.16271597427784437,0.09500145799888718,10
0,mut15,0.15575897835389835,0.3284342188227147,1.7999984690542092e-06,10
0,mut19,0.4383888536470829,0.46728316985793106,0.36420549355530013,10
0,mut20,0.08357998711602761,0.20164685938187532,1.7999984690542092e-06,10
0,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
0,mut26,0.06817237373605785,0.1010976960174763,1.7999984690542092e-06,10
0,mut28,0.23816526359946275,0.3216856416212319,1.7999984690542092e-06,10
0,mut33,0.28255697644670474,0.26439633766282655,0.3645945498607291,10
0,mut39,0.21002228126677588,0.22843960988331496,0.15849450016303224,10
0,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
0,mut8,0.011111191111111062,0.03513635520076214,9.999999994736443e-08,10
1,mut11,0.2955458619125612,0.3267652314213729,0.18000133199897328,10
1,mut12,0.06246182280390204,0.11457956998282429,1.7999984690542092e-06,10
1,mut15,0.2420699561465014,0.3159925004862986,1.7999984690542092e-06,10
1,mut19,0.5060111805336984,0.31989984072850197,0.6238033806654313,10
1,mut20,0.1572490421810961,0.1738115676419904,0.09500145799888718,10
1,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
1,mut26,0.009092673634879058,0.028747866611833036,1.7999984690542092e-06,10
1,mut28,0.41820512470430504,0.37268605743191885,0.5796740879557473,10
1,mut33,0.27906691530851013,0.30004695070464066,0.23155663461040654,10
1,mut39,0.0689118963271412,0.14694676528629527,1.7999984690542092e-06,10
1,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
1,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
2,mut11,0.1726135820723927,0.2877279375498006,1.7999984690542092e-06,10
2,mut12,0.13150886372715476,0.16399353498294422,0.08677832975094482,10
2,mut15,0.34735316863345256,0.3718962044856427,0.30007145413498076,10
2,mut19,0.3034238847135905,0.37354477467850655,0.15849450016303224,10
2,mut20,0.23516648760773,0.2755431533467831,0.13698875134884123,10
2,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
2,mut26,0.03780507843625311,0.0667262758032228,1.7999984690542092e-06,10
2,mut28,0.261701298314145,0.4216609015656797,1.7999984690542092e-06,10
2,mut33,0.17505082959404603,0.2467617710200803,0.08677832975094482,10
2,mut39,0.15017222881069428,0.2599695740278642,1.7999984690542092e-06,10
2,mut44,0.03098934596156529,0.07027367913709229,1.7999984690542092e-06,10
2,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
3,mut11,0.15549173288206286,0.282505801722261,1.7999984690542092e-06,10
3,mut12,0.03098934596156529,0.07027367913709229,1.7999984690542092e-06,10
3,mut15,0.4334843667943332,0.3906055549950196,0.5792538265218675,10
3,mut19,0.4632964008988479,0.41461181714684503,0.6231159588607493,10
3,mut20,0.2340789553726687,0.32057967401307597,1.7999984690542092e-06,10
3,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
3,mut26,0.05748498741466081,0.07959530356240452,1.7999984690542092e-06,10
3,mut28,0.10991297624104952,0.23915308897141385,1.7999984690542092e-06,10
3,mut33,0.4585436345284509,0.3125868647568966,0.4631190031009176,10
3,mut39,0.09336539808978964,0.22045215798272363,1.7999984690542092e-06,10
3,mut44,0.03098934596156529,0.07027367913709229,1.7999984690542092e-06,10
3,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
4,mut11,0.18169548991964096,0.23864383195015093,1.7999984690542092e-06,10
4,mut12,0.05945572413433179,0.08243944307333181,1.7999984690542092e-06,10
4,mut15,0.4031955426188333,0.30485722845358,0.4508359673452206,10
4,mut19,0.37098795817879726,0.38489288684844547,0.333544618170654,10
4,mut20,0.2548019981700878,0.27647521694511895,0.19947532298929999,10
4,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
4,mut26,0.06729448269372765,0.07873360006009829,0.04545616818051908,10
4,mut28,0.39960192055126453,0.39939575625988677,0.3389832635906736,10
4,mut33,0.2697651416578162,0.3083027617283401,0.16723976045918137,10
4,mut39,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
4,mut44,0.011112872220740398,0.0351362954690061,1.7999984690542092e-06,10
4,mut8,0.011111191111111062,0.03513635520076214,9.999999994736443e-08,10
5,mut11,0.12346084801131166,0.1994613619682925,1.7999984690542092e-06,10
5,mut12,0.021592632384930064,0.0462212731100357,1.7999984690542092e-06,10
5,mut15,0.4356449181730054,0.3306202536491731,0.5168429787602924,10
5,mut19,0.3664811406174774,0.3461528642900097,0.39739945618429434,10
5,mut20,0.03853046727679175,0.12183834381030029,1.7999984690542092e-06,10
5,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
5,mut26,0.010001762998516668,0.03162265959756093,1.7999984690542092e-06,10
5,mut28,0.46574758737538813,0.397408467723487,0.4779129842995536,10
5,mut33,0.21989729736367827,0.3401251124119959,1.7999984690542092e-06,10
5,mut39,0.055356987149104656,0.09881417180194091,1.7999984690542092e-06,10
5,mut44,0.015386369229293229,0.048650279589949115,1.7999984690542092e-06,10
5,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
6,mut11,0.17710580931732323,0.24225988818562116,1.7999984690542092e-06,10
6,mut12,0.03222392744302536,0.07378627566573497,1.7999984690542092e-06,10
6,mut15,0.19193350691188096,0.31064639685684864,1.7999984690542092e-06,10
6,mut19,0.4275882580144771,0.3871083076042371,0.523132853530715,10
6,mut20,0.36121095198147907,0.31608118983067435,0.5251270598131637,10
6,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
6,mut26,0.07878112785227187,0.07413183129415218,0.10101152929187579,10
6,mut28,0.5540839644200849,0.3291046764278416,0.6339923903242598,10
6,mut33,0.1593981309197696,0.273991380404095,1.7999984690542092e-06,10
6,mut39,0.13104080810648636,0.23402655297072872,1.7999984690542092e-06,10
6,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
6,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
7,mut11,0.1914316632504625,0.2489724152734023,1.7999984690542092e-06,10
7,mut12,0.07104618852291947,0.138757142838791,1.7999984690542092e-06,10
7,mut15,0.1720202022779715,0.2835122607806845,1.7999984690542092e-06,10
7,mut19,0.4461875143741712,0.4043579344947653,0.580536022347534,10
7,mut20,0.31349597835177845,0.3273527671163096,0.3237833100808771,10
7,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
7,mut26,0.06823136766414413,0.10420922878393095,1.7999984690542092e-06,10
7,mut28,0.21752182251400765,0.3039844538865819,1.7999984690542092e-06,10
7,mut33,0.3723293675101591,0.31981428681381036,0.3608347554344785,10
7,mut39,0.017357105948964207,0.05488229629263817,1.7999984690542092e-06,10
7,mut44,0.017357105948964207,0.05488229629263817,1.7999984690542092e-06,10
7,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
8,mut11,0.09710559838624502,0.16312499538690634,1.7999984690542092e-06,10
8,mut12,0.08776982813789544,0.1422311041747656,1.7999984690542092e-06,10
8,mut15,0.4826940757125887,0.2812543362402015,0.5882062477254835,10
8,mut19,0.20096288413391933,0.29806662052840965,1.7999984690542092e-06,10
8,mut20,0.2185252725303551,0.24078591542180572,0.12523970282809024,10
8,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
8,mut26,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
8,mut28,0.4822091743712762,0.21302887653453206,0.4938501618884272,10
8,mut33,0.3700628751804151,0.22185461414245586,0.4654358464791263,10
8,mut39,0.05948327125455366,0.12601437931169468,1.7999984690542092e-06,10
8,mut44,0.018183567271255068,0.057495796469111765,1.7999984690542092e-06,10
8,mut8,0.012500079999999945,0.039528407506551524,9.999999994736443e-08,10
9,mut11,0.13098614568265182,0.22859440651331095,1.7999984690542092e-06,10
9,mut12,0.18050165507431043,0.11907593741878246,0.18177798775136295,10
9,mut15,0.4064136803568882,0.3668595465403977,0.5324441645766248,10
9,mut19,0.42538026409886226,0.38365761503119294,0.5251523181236102,10
9,mut20,0.11417202865105347,0.19554809406562026,1.7999984690542092e-06,10
9,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
9,mut26,0.017357105948964207,0.05488229629263817,1.7999984690542092e-06,10
9,mut28,0.3631540642617287,0.3254615192249694,0.48077461981999914,10
9,mut33,0.3013336145933369,0.30879412192413813,0.34634635821886084,10
9,mut39,0.0076940746138981385,0.024325108172251707,1.7999984690542092e-06,10
9,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
9,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
10,mut11,0.1518440789441357,0.2782198313470662,1.7999984690542092e-06,10
10,mut12,0.10446114831356441,0.09826233903853455,0.1079559619307741,10
10,mut15,0.3732082568389498,0.2873003605470479,0.441381030492894,10
10,mut19,0.44374962552094377,0.32770672857900063,0.5336872387960083,10
10,mut20,0.18410925561561964,0.24028573389173788,1.7999984690542092e-06,10
10,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
10,mut26,0.012501758748520058,0.03952834030831255,1.7999984690542092e-06,10
10,mut28,0.5238294046396591,0.3824690934863081,0.6546438292949975,10
10,mut33,0.17906575614235773,0.23279906225058436,1.7999984690542092e-06,10
10,mut39,0.0665475620121235,0.14247587126377978,1.7999984690542092e-06,10
10,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
10,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
11,mut11,0.03214994322715002,0.06804282704207515,1.7999984690542092e-06,10
11,mut12,0.08704105539485454,0.10758414289400994,0.04545616818051908,10
11,mut15,0.2622222954503495,0.3401326530568372,0.06250159374872408,10
11,mut19,0.4204276005326101,0.3898731042780869,0.4837889273724627,10
11,mut20,0.17608742299475127,0.2871528019987945,1.7999984690542092e-06,10
11,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
11,mut26,0.0202037458571504,0.04285479977707607,1.7999984690542092e-06,10
11,mut28,0.5122552288845488,0.40016998360145456,0.6246702463737951,10
11,mut33,0.11227428651337298,0.18385149440053178,1.7999984690542092e-06,10
11,mut39,0.0339115734578469,0.10723211907196119,1.7999984690542092e-06,10
11,mut44,0.017357105948964207,0.05488229629263817,1.7999984690542092e-06,10
11,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
12,mut11,0.1782474747819504,0.3245111594752491,1.7999984690542092e-06,10
12,mut12,0.07365155878749903,0.11642107410142749,1.7999984690542092e-06,10
12,mut15,0.42572188007629935,0.31540856710224463,0.5144375126555123,10
12,mut19,0.40915864930916285,0.34460733630833246,0.42438315992595493,10
12,mut20,0.10607816454504879,0.1734762320890228,1.7999984690542092e-06,10
12,mut24,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
12,mut26,0.016784948250308143,0.03553521972916888,1.7999984690542092e-06,10
12,mut28,0.34413541421694555,0.3826108451941519,0.19283670720049836,10
12,mut33,0.2631025903537733,0.3153156056073483,0.15432235740635517,10
12,mut39,0.011112872220740398,0.0351362954690061,1.7999984690542092e-06,10
12,mut44,1.7999984690542092e-06,0.0,1.7999984690542092e-06,10
12,mut8,9.999999994736444e-08,0.0,9.999999994736443e-08,10
13,mut11,0.2344559522251342,0.3339650772186319,1.7999984690542092e-06,10
