cell_id,replicate,n_responding
0,0,2
0,1,3
0,2,2
0,3,2
0,4,2
0,5,1
0,6,2
0,7,1
0,8,1
0,9,1
1,0,1
1,1,2
1,2,3
1,3,3
1,4,2
1,5,3
1,6,1
1,7,3
1,8,1
1,9,3
2,0,1
2,1,1
2,2,1
2,3,1
2,4,2
2,5,3
2,6,2
2,7,3
2,8,1
2,9,1
3,0,2
3,1,2
3,2,3
3,3,2
3,4,3
3,5,4
3,6,2
3,7,2
3,8,1
3,9,2
4,0,2
4,1,2
4,3,2
4,4,1
4,5,2
4,6,3
4,7,3
4,8,1
4,9,2
5,0,1
5,1,2
5,2,1
5,3,1
5,4,2
5,5,2
5,6,3
5,7,1
5,8,2
5,9,2
6,0,3
6,1,2
6,2,2
6,3,1
6,4,4
6,5,3
6,6,4
6,7,3
6,8,2
6,9,3
7,0,1
7,1,2
7,2,2
7,3,4
7,4,2
7,5,2
7,6,1
7,7,2
7,9,2
8,0,2
8,1,1
8,2,1
8,3,2
8,4,3
8,5,2
8,6,3
8,7,2
8,9,1
9,0,2
9,1,2
9,2,1
9,3,2
9,4,2
9,5,2
9,6,2
9,7,2
9,8,2
9,9,1
10,0,1
10,1,2
10,2,1
10,3,2
10,4,2
10,5,3
10,6,2
10,7,2
10,8,2
10,9,2
11,0,2
11,2,1
11,3,2
11,4,2
11,5,2
11,6,2
11,7,1
11,8,2
11,9,1
12,0,2
12,1,3
12,2,1
12,3,2
12,4,2
12,6,3
12,7,2
12,8,2
12,9,2
13,0,2
13,1,2
13,3,2
13,4,2
13,5,2
13,6,2
13,7,3
13,8,3
13,9,3
14,0,1
14,1,2
14,2,1
14,3,2
14,4,2
14,5,2
14,6,1
14,7,2
14,8,1
14,9,2
15,0,1
15,1,2
15,2,1
15,3,1
15,4,3
15,5,2
15,6,3
15,7,3
15,8,2
15,9,1
16,0,1
16,1,2
16,2,1
16,3,3
16,4,5
16,5,2
16,6,3
16,7,1
16,8,1
16,9,3
17,0,3
17,1,1
17,3,1
17,4,2
17,5,1
17,6,2
17,7,1
17,8,2
17,9,4
18,0,2
18,1,1
18,2,2
18,3,2
18,4,2
18,5,2
18,6,2
18,7,2
18,8,2
18,9,3
19,0,3
19,1,2
19,2,2
19,3,2
19,4,2
19,5,2
19,6,2
19,7,2
19,8,1
19,9,3
20,0,1
20,1,1
20,2,1
20,3,1
20,4,3
20,5,3
20,6,3
20,7,1
20,8,3
20,9,2
21,0,1
21,1,1
21,2,1
21,3,1
21,4,1
21,5,2
21,6,2
21,7,3
21,8,2
21,9,2
22,0,2
22,1,2
22,2,2
22,3,2
22,4,2
22,5,2
22,7,2
22,8,2
22,9,3
23,0,2
23,1,1
23,2,2
23,3,3
23,4,2
23,5,2
23,6,2
23,7,2
23,8,3
23,9,2
24,0,3
24,1,2
24,2,1
24,4,3
24,5,1
24,6,2
24,7,2
24,8,3
24,9,3
25,0,2
25,1,2
25,3,2
25,4,2
25,5,2
25,6,3
25,7,2
25,8,2
25,9,3
26,0,1
26,1,3
26,2,2
26,3,1
26,4,1
26,5,2
26,6,3
26,7,2
26,8,3
26,9,3
27,0,2
27,1,2
27,2,1
27,3,2
27,4,3
27,5,2
27,6,3
27,7,3
27,8,4
27,9,1
28,0,1
28,2,1
28,3,1
28,4,1
28,5,2
28,6,2
28,7,2
28,8,2
28,9,2
29,0,3
29,1,1
29,2,1
29,3,2
29,4,4
29,5,2
29,6,2
29,7,1
29,8,1
29,9,3
30,0,2
30,1,1
30,2,2
30,3,2
30,4,3
30,5,2
30,6,1
30,7,4
30,8,1
30,9,3
31,0,3
31,1,3
31,4,2
31,5,4
31,6,1
31,7,2
31,8,1
31,9,3
32,0,3
32,1,1
32,2,1
32,3,2
32,4,3
32,5,3
32,6,2
32,7,3
32,8,3
32,9,2
33,0,2
33,1,1
33,2,1
33,3,2
33,4,2
33,5,2
33,6,2
33,7,2
33,9,3
34,0,3
34,1,2
34,2,1
34,3,2
34,4,4
34,5,2
34,6,3
34,7,1
34,8,2
34,9,3
35,0,1
35,1,2
35,2,2
