peptide,repetition,weight,run_time
mut11,0,1,0.0160402189999997
mut11,1,1,0.0042001840000001
mut11,2,1,0.004684053
mut11,3,1,0.0042548169999996
mut11,4,1,0.0043478820000002
mut11,5,1,0.0050776940000005
mut11,6,1,0.0044845480000006
mut11,7,1,0.0047242999999994
mut11,8,1,0.0042377639999999
mut11,9,1,0.0041442699999993
mut12,0,1,0.0160402189999997
mut12,1,1,0.0042001840000001
mut12,2,1,0.004684053
mut12,3,1,0.0042548169999996
mut12,4,1,0.0043478820000002
mut12,5,1,0.0050776940000005
mut12,6,1,0.0044845480000006
mut12,7,1,0.0047242999999994
mut12,8,1,0.0042377639999999
mut12,9,1,0.0041442699999993
mut15,0,1,0.0160402189999997
mut15,1,1,0.0042001840000001
mut15,2,1,0.004684053
mut15,3,1,0.0042548169999996
mut15,4,1,0.0043478820000002
mut15,5,1,0.0050776940000005
mut15,6,1,0.0044845480000006
mut15,7,1,0.0047242999999994
mut15,8,1,0.0042377639999999
mut15,9,1,0.0041442699999993
mut19,0,1,0.0160402189999997
mut19,1,1,0.0042001840000001
mut19,2,1,0.004684053
mut19,3,1,0.0042548169999996
mut19,4,1,0.0043478820000002
mut19,5,1,0.0050776940000005
mut19,6,1,0.0044845480000006
mut19,7,1,0.0047242999999994
mut19,8,1,0.0042377639999999
mut19,9,1,0.0041442699999993
mut20,0,1,0.0160402189999997
mut20,1,1,0.0042001840000001
mut20,2,1,0.004684053
mut20,3,1,0.0042548169999996
mut20,4,1,0.0043478820000002
mut20,5,1,0.0050776940000005
mut20,6,1,0.0044845480000006
mut20,7,1,0.0047242999999994
mut20,8,1,0.0042377639999999
mut20,9,1,0.0041442699999993
mut26,0,1,0.0160402189999997
mut26,1,1,0.0042001840000001
mut26,2,1,0.004684053
mut26,3,1,0.0042548169999996
mut26,4,1,0.0043478820000002
mut26,5,1,0.0050776940000005
mut26,6,1,0.0044845480000006
mut26,7,1,0.0047242999999994
mut26,8,1,0.0042377639999999
mut26,9,1,0.0041442699999993
mut28,0,1,0.0160402189999997
mut28,1,1,0.0042001840000001
mut28,2,1,0.004684053
mut28,3,1,0.0042548169999996
mut28,4,1,0.0043478820000002
mut28,5,1,0.0050776940000005
mut28,6,1,0.0044845480000006
mut28,7,1,0.0047242999999994
mut28,8,1,0.0042377639999999
mut28,9,1,0.0041442699999993
mut33,0,1,0.0160402189999997
mut33,1,1,0.0042001840000001
mut33,2,1,0.004684053
mut33,3,1,0.0042548169999996
mut33,4,1,0.0043478820000002
mut33,5,1,0.0050776940000005
mut33,6,1,0.0044845480000006
mut33,7,1,0.0047242999999994
mut33,8,1,0.0042377639999999
mut33,9,1,0.0041442699999993
mut39,0,1,0.0160402189999997
mut39,1,1,0.0042001840000001
mut39,2,1,0.004684053
mut39,3,1,0.0042548169999996
mut39,4,1,0.0043478820000002
mut39,5,1,0.0050776940000005
mut39,6,1,0.0044845480000006
mut39,7,1,0.0047242999999994
mut39,8,1,0.0042377639999999
mut39,9,1,0.0041442699999993
mut44,0,1,0.0160402189999997
mut44,1,1,0.0042001840000001
mut44,2,1,0.004684053
mut44,3,1,0.0042548169999996
mut44,4,1,0.0043478820000002
mut44,5,1,0.0050776940000005
mut44,6,1,0.0044845480000006
mut44,7,1,0.0047242999999994
mut44,8,1,0.0042377639999999
mut44,9,1,0.0041442699999993
