target_tg,predicted_tg,acid_smiles,epoxide_smiles,acid_dist,epoxide_dist,z_acid,z_epoxide
350,350.00002965703345,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,11.017568641881207,10.511686828091705,"[-0.1184757798910141, 1.8092477321624756, -1.6186798810958862, 1.0719865560531616, -1.8339149951934814, 1.9481638669967651, -1.013808250427246, 0.398598849773407, -0.778305172920227, 1.4618293046951294, -1.970338225364685, -0.9844298362731934, 0.14475113153457642, 0.5348069667816162, 3.0239408016204834, 1.0945777893066406, 1.5128450393676758, 0.5453177094459534, -0.1522969752550125, -1.2365342378616333, -0.009857464581727982, -1.0053222179412842, 1.199524998664856, -1.1137330532073975, 1.4242833852767944, 0.5234653949737549, -2.9662415981292725, -0.8826630115509033, -1.9634146690368652, 0.34508609771728516, -1.5431063175201416, -0.036124616861343384]","[1.7021855115890503, 0.21858717501163483, -1.4029531478881836, -1.0439406633377075, -2.199324607849121, 0.04617636278271675, 0.4312726855278015, 0.1924743503332138, -1.4449470043182373, 0.40124937891960144, 0.6555739045143127, -2.328545093536377, -0.6681773662567139, 0.3763764202594757, -0.4765958786010742, -1.1628990173339844, -2.553797960281372, -0.681519091129303, -0.47513362765312195, -2.293088912963867, 0.7986668944358826, -3.2082326412200928, 2.2149477005004883, -1.7896054983139038, 0.3757680654525757, -2.2196340560913086, 0.7593549489974976, 0.9900986552238464, 1.852967619895935, 1.8302534818649292, 0.665346622467041, -0.11342629045248032]"
350,349.9999438995573,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,10.955155346015413,12.390811340253997,"[0.44155213236808777, -0.5647587776184082, 0.5420590043067932, 1.9556382894515991, 0.2586999535560608, 2.4898841381073, 1.0045644044876099, 0.8741070628166199, 0.42831310629844666, 1.466200828552246, 0.786444365978241, 1.0055264234542847, 0.01879103109240532, 3.3824477195739746, 1.2906153202056885, 0.5027631521224976, 0.7831946611404419, 0.4588637351989746, -1.9863334894180298, 0.10698561370372772, 2.26883602142334, -0.8190296292304993, -1.7621512413024902, 0.9787076115608215, 2.1979570388793945, 0.5372327566146851, -1.3288328647613525, -2.634990930557251, -1.7304743528366089, 2.4615416526794434, 1.9197932481765747, -1.3999906778335571]","[-1.5442684888839722, -2.1287992000579834, 0.41590622067451477, 1.0919134616851807, -0.9701552987098694, -2.5827114582061768, 0.42933228611946106, -1.883313775062561, -1.6867815256118774, 0.1176072433590889, -2.2822322845458984, -3.325239419937134, -1.4113291501998901, -1.5189387798309326, -1.1668287515640259, 0.9621002078056335, 1.6755321025848389, -0.6607671976089478, 2.462698459625244, -0.852103054523468, 2.076657772064209, -1.6599572896957397, 2.3812267780303955, 1.7228922843933105, 1.5105825662612915, -0.8773077726364136, 1.9802871942520142, -1.3782901763916016, -0.28689178824424744, 1.1966792345046997, -0.22146843373775482, -0.09737800061702728]"
350,349.9998867279065,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,10.584858983566813,12.138886996823864,"[1.0574873685836792, -1.9412415027618408, 2.0019798278808594, 0.045733753591775894, -0.15053817629814148, 1.2304697036743164, 0.5251397490501404, 0.8990914225578308, -0.20641128718852997, 0.6814570426940918, -0.028378333896398544, 0.3429243564605713, -0.824025571346283, -0.08677686005830765, -1.834538459777832, 0.9761170148849487, 2.278782606124878, -0.4380759000778198, -0.9787279367446899, 2.1012954711914062, -0.30013102293014526, -2.4433975219726562, -0.8247303366661072, -0.8965758085250854, -2.22387957572937, -1.0628161430358887, -0.8684183955192566, 0.6389269828796387, -0.10057711601257324, -1.702713131904602, 0.9580702185630798, -0.744914174079895]","[-0.24103467166423798, 0.2665165364742279, -0.2149062603712082, 0.24698546528816223, -1.107445478439331, -0.5875549912452698, 1.5492620468139648, -0.18304434418678284, -0.24029409885406494, -0.9522862434387207, -0.9525250196456909, 1.5073802471160889, -1.0095632076263428, 0.7670853734016418, -0.16305243968963623, 1.3113784790039062, -2.8009772300720215, 0.7894117832183838, 2.149815797805786, -1.251741886138916, -1.6368052959442139, -1.8696035146713257, 0.12613990902900696, -1.5039767026901245, 0.8266793489456177, -0.2920415997505188, 2.586641311645508, 0.4877191185951233, 1.0532376766204834, 1.4799015522003174, -0.08427838981151581, 0.3739640414714813]"
350,350.0001297074224,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,10.604650009931087,11.982052242870344,"[2.1897988319396973, -1.2010694742202759, -1.8308525085449219, 2.1683237552642822, 0.9420223832130432, 1.6327338218688965, 0.8089421391487122, 2.1800830364227295, -1.1054776906967163, 1.1712878942489624, 0.6516432166099548, 1.057023525238037, -0.06696515530347824, 0.5858878493309021, 0.11963595449924469, 0.33616188168525696, 2.8362672328948975, -0.5538520812988281, -0.794216513633728, -0.8441928029060364, 0.8871997594833374, -0.9081324934959412, -0.2462395280599594, 3.3961379528045654, -1.980256199836731, 0.013900576159358025, -0.24929368495941162, 2.4334824085235596, 1.845141887664795, 1.4126747846603394, -0.765051543712616, -0.3429824709892273]","[-1.3802826404571533, 0.8980915546417236, 0.708081841468811, 0.43336185812950134, 0.5471516847610474, 0.8273940086364746, 2.408519983291626, -0.34277400374412537, -1.871819019317627, -1.5869426727294922, -0.36805763840675354, 0.47713702917099, -1.2340694665908813, -1.504381537437439, -0.3198278248310089, 1.826096773147583, -0.9536925554275513, 0.2903556823730469, 1.6194639205932617, -0.46948254108428955, 0.27117687463760376, -2.1925153732299805, -2.6186039447784424, -0.9348083734512329, 0.5057905912399292, -0.6000483632087708, 0.6319489479064941, 1.9644877910614014, 1.587221384048462, 0.9570862054824829, -0.1865995079278946, 2.141312599182129]"
350,350.00014400033507,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,11.702056288538392,11.294904139276857,"[-0.7675080895423889, -1.310195803642273, 0.059482213109731674, 1.4845949411392212, -0.5692848563194275, 1.1946438550949097, 1.2640628814697266, -0.4244784116744995, -1.688188076019287, 2.1831018924713135, 0.26981431245803833, -1.987953782081604, -0.02322850003838539, -1.2579737901687622, 1.6252583265304565, 1.6825326681137085, -0.042637214064598083, -0.28277021646499634, 1.5081788301467896, -0.8329333066940308, 3.733207941055298, -0.3899422585964203, -2.2999141216278076, 1.6553634405136108, 0.2840220630168915, 0.6032910943031311, -1.9394943714141846, -0.7713750600814819, 0.966386079788208, -1.1296734809875488, 1.3651878833770752, 2.1041460037231445]","[1.2980831861495972, -1.773145079612732, -0.7084714770317078, -2.0227389335632324, -2.80450439453125, 0.21486198902130127, 1.722720742225647, 0.5008445978164673, 1.6396713256835938, -0.6549655199050903, -2.6889588832855225, 0.7158010601997375, -2.3321585655212402, 1.1928627490997314, -1.1687939167022705, -0.2397087663412094, 0.5086008310317993, -0.3722708523273468, -3.023146390914917, -0.6897527575492859, 0.7509570121765137, -1.613796591758728, 2.0900652408599854, -1.8013386726379395, 1.085497498512268, -1.1586732864379883, 1.5595754384994507, 1.3381543159484863, 2.165243625640869, 1.4039547443389893, -0.3309269845485687, 1.2582128047943115]"
400,399.9999971069268,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(CCCCC(=O)NCc1ccc(OCC2CO2)cc1)NCc1ccc(OCC2CO2)cc1,10.947709311237082,11.621511451304476,"[1.446264624595642, 0.9779609441757202, -2.1725504398345947, -1.336086630821228, -0.6586702466011047, -1.1150686740875244, -0.43507686257362366, 1.8072675466537476, -0.7382861971855164, -0.5623993873596191, -0.2756761610507965, 0.6647066473960876, 0.5614563226699829, 0.49526575207710266, -0.40315553545951843, -0.6900413036346436, 0.5639760494232178, 0.7003160715103149, -1.7629228830337524, 0.1735496073961258, 0.12105363607406616, -0.462426096200943, -0.6739774942398071, 0.23760268092155457, -1.7377469539642334, 2.468012809753418, -2.2589290142059326, -2.407041311264038, -1.2953349351882935, 0.739217221736908, -0.37779101729393005, 0.46880894899368286]","[-1.3848769664764404, 1.6887338161468506, 1.1716245412826538, 1.3191627264022827, -0.34793558716773987, -0.17087793350219727, -0.22809389233589172, 3.538238525390625, -1.7847732305526733, -1.4395256042480469, -0.1677790880203247, 0.661369800567627, 0.0609072670340538, -0.514574408531189, -1.7981771230697632, 2.228914260864258, -1.514931082725525, 0.7045848965644836, 1.2472410202026367, -0.31605294346809387, 2.6364943981170654, 0.8370895385742188, 0.9333409667015076, 0.5049668550491333, 0.3682149350643158, -0.7461733222007751, 0.6275121569633484, -0.31675514578819275, 0.863673210144043, -0.38310930132865906, 0.836927056312561, -0.3217816948890686]"
400,399.9999971069268,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,10.637208562506967,11.638151391788446,"[1.8708763122558594, -0.1485765278339386, 1.6044002771377563, 0.45290154218673706, -0.5349094271659851, 1.0919394493103027, 1.0702265501022339, 1.0943363904953003, -0.582341730594635, -0.31199076771736145, -1.0124547481536865, 0.7348619699478149, 0.20612962543964386, 1.0411726236343384, -0.533275306224823, 3.3461716175079346, 0.7042737007141113, -2.6446094512939453, -0.7646498084068298, 2.187924861907959, 1.0298317670822144, -2.1712875366210938, 0.2798307240009308, 0.5407013893127441, 0.4722033441066742, -0.969672441482544, 0.4821949005126953, -0.28528839349746704, -1.0382698774337769, 0.1773044764995575, 0.42316505312919617, -0.11237180978059769]","[1.1315256357192993, -0.8993168473243713, 0.42668065428733826, -0.27530497312545776, 0.7233222723007202, -0.5134136080741882, 1.0560506582260132, 1.117140293121338, -0.9504039883613586, -0.19885918498039246, 1.0023388862609863, 0.19756844639778137, -0.0829685851931572, 2.160977840423584, 0.21041829884052277, -0.459856778383255, -1.1501212120056152, -0.9549921154975891, 0.7187619805335999, -1.3388786315917969, -2.2607061862945557, -2.0478515625, -0.8337501287460327, -0.08044709265232086, 0.509523868560791, -0.6904734969139099, 2.3956151008605957, 1.7508848905563354, 1.0574382543563843, 1.6313600540161133, -0.5546180009841919, 1.099535584449768]"
400,399.9998970565379,O=C(O)CCN(CCC(=O)O)C(=O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,11.167844436256349,12.094041221394855,"[-0.24281208217144012, 0.5464840531349182, -0.8701613545417786, -0.36800408363342285, -1.1176828145980835, 1.7451591491699219, 0.978162944316864, -1.015338659286499, 0.39618366956710815, 1.4054454565048218, 0.2979692816734314, 1.536431074142456, 0.019174953922629356, 1.0506255626678467, -1.3118674755096436, 0.8488091826438904, -1.038812279701233, 1.268812656402588, -0.2633417844772339, -1.104076623916626, -1.671025276184082, 0.46657103300094604, 0.18385978043079376, 0.629307746887207, 1.2651491165161133, 1.44760000705719, -0.23978988826274872, -0.7241584062576294, -0.9928333163261414, -1.031909704208374, 0.7467086315155029, 0.34714800119400024]","[-0.7831220030784607, -0.7581618428230286, 0.9436022043228149, 0.5538164973258972, -1.630495309829712, 0.26776254177093506, 0.619170606136322, -1.1942065954208374, -0.6393633484840393, -1.3172705173492432, -0.8525898456573486, -2.3544442653656006, -1.158516764640808, -0.15363477170467377, -0.11628591269254684, 1.8782638311386108, 0.8840650320053101, 0.46388915181159973, 1.6491260528564453, -0.38135799765586853, 0.8866934180259705, -1.6063534021377563, -0.9132366180419922, 0.26515260338783264, 2.7759406566619873, -0.47996434569358826, 0.3896315097808838, -2.953521728515625, -0.4354362189769745, -0.4216092526912689, -0.8477396368980408, 1.4320831298828125]"
400,399.9998899100816,O=C(O)COCCN(CCOCC(=O)O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,12.20239020845551,11.664895831084669,"[-0.7571004629135132, -0.014775780960917473, -1.4651124477386475, 0.6920809745788574, -1.4464235305786133, 0.3125377595424652, 1.032747507095337, 0.17944125831127167, -0.11452566087245941, 0.5541684031486511, 0.8508049845695496, 1.9050509929656982, 0.30496084690093994, 0.49439796805381775, 1.1971293687820435, 0.7183535695075989, -1.552145004272461, 1.567812442779541, -0.01738028973340988, 0.5930210947990417, 2.541666030883789, -1.109997272491455, -0.47943300008773804, -0.7944217324256897, 1.4274574518203735, 2.3769383430480957, 0.3478347063064575, 1.173294186592102, -1.3794440031051636, -1.0914322137832642, 0.03955480083823204, 1.3166505098342896]","[-0.9972963333129883, 1.1001440286636353, 1.7991491556167603, 1.9534120559692383, -0.22264178097248077, -0.3262292742729187, 0.45128950476646423, 0.6712287664413452, -0.846278727054596, -1.6852422952651978, -1.06752347946167, -1.0430604219436646, -0.024768829345703125, 2.243807554244995, -0.11337301135063171, 0.04572880640625954, 1.3815926313400269, -0.8002556562423706, -1.3574355840682983, -0.4634341299533844, -0.2259368896484375, 0.9082223773002625, -0.40392059087753296, 0.26515376567840576, 1.4508895874023438, -2.331794500350952, -1.1963015794754028, -0.9455443024635315, 0.8210973143577576, 0.30937981605529785, 1.5708503723144531, 2.027005910873413]"
400,400.00011145022836,O=C(O)COCCN(CCOCC(=O)O)C(=O)Nc1ccccc1,O=C(Nc1ccccc1)c1cccc(OCC2CO2)c1OCC1CO1,11.813536511377432,10.80123756465856,"[1.077755331993103, -0.036033060401678085, -0.5879408717155457, 0.3508518636226654, -0.5023748874664307, -0.026796914637088776, 0.5992357134819031, 1.0135676860809326, 0.451517254114151, -0.9016372561454773, 1.321473479270935, 0.4823366403579712, 1.267919898033142, 0.4943918287754059, 0.6094896197319031, -0.5821056962013245, -0.3312416672706604, 0.916252613067627, -0.27061593532562256, 1.2117639780044556, 2.4734046459198, -0.6537756323814392, 0.903116762638092, 1.4708261489868164, 0.4488072991371155, 1.3701237440109253, 0.722626268863678, -0.8153401613235474, -1.2216739654541016, -0.5364193916320801, 0.7271890640258789, -0.8965409398078918]","[2.039576292037964, 2.2997403144836426, -0.592197835445404, -1.130643606185913, -1.0809128284454346, 0.7486225366592407, 0.0469839945435524, -0.571980357170105, 0.8816149234771729, 2.1707210540771484, -1.3771337270736694, 0.5505910515785217, -0.9654924273490906, -0.6883653402328491, 0.22479848563671112, 0.14724725484848022, -0.6411911249160767, -2.398826837539673, 2.0163681507110596, -0.8203341960906982, 0.43582117557525635, 0.8509061932563782, 1.247625708580017, -2.6731364727020264, -0.23479630053043365, -1.7551934719085693, 0.47474971413612366, 2.065641164779663, 0.058720871806144714, 1.7806881666183472, 1.7608367204666138, -0.2330487072467804]"
