ISO3,Country,n_points,mean_scenario_risk,high_risk_share,slr_ge_4_share,slr_ge_7_share,baseline_tc_hazard,future_tc_hazard,scenario,Mang_Ha_2020,Risk_Pop_2020,Risk_Stock_2020,Ben_Pop_2020,Ben_Stock_2020,risk_pop_proxy,risk_stock_proxy
BRN,Brunei Darussalam,37,0.6969357667412928,1.0,1.0,1.0,0.4724154543763932,0.5962260966593583,ssp585,18707.0,4636.0,56058429.0,1602.0,9281843.0,3230.994214612633,39069124.197427325
WSM,Samoa,2,0.664680099638626,1.0,1.0,1.0,0.47712459366132104,0.5717288580924876,ssp585,231.0,543.0,0.0,2568.0,0.0,360.9212941037739,0.0
BLZ,Belize,84,0.6294338803603333,1.0,1.0,1.0,0.34017345397769383,0.4597104057054554,ssp585,68012.0,3252.0,14005376.0,5925.0,20171289.0,2046.9189789318038,8815458.161585484
FSM,MicronesiaFederatedStatesof,24,0.5514092460164821,0.9166666666666666,1.0,1.0,0.30835400052249257,0.38916741697942747,ssp585,8711.0,2962.0,0.0,420.0,0.0,1633.27418670082,0.0
PLW,Palau,15,0.5502923488677761,1.0,1.0,1.0,0.32985411786202273,0.4163022850713017,ssp585,5687.0,584.0,0.0,253.0,0.0,321.3707317387813,0.0
ARE,United Arab Emirates,3,0.5306648032004281,1.0,1.0,1.0,0.3172674917105156,0.38827195635532896,ssp585,7393.0,249755.0,570497070.0,111891.0,352075128.0,132536.18792332293,302742715.3779708
NIC,Nicaragua,141,0.5265995585852935,0.9787234042553191,1.0,1.0,0.28208895208078283,0.3812150098419699,ssp585,86057.0,5268.0,19362943.0,8175.0,16184777.0,2774.1264746273264,10196517.236712199
HND,Honduras,99,0.5252080771870344,0.98989898989899,1.0,1.0,0.28090731040593364,0.3796181392825787,ssp585,85226.0,6683.0,22392815.0,2721.0,8215556.0,3509.9655798409512,11760887.308954982
MYT,Mayotte,11,0.5160718550735859,1.0,1.0,1.0,0.3018920684610597,0.37715979896977103,ssp585,675.0,2167.0,0.0,1335.0,0.0,1118.3277099444606,0.0
CYM,Cayman Islands,21,0.5156581980263581,1.0,1.0,1.0,0.26595877102487353,0.35941668316301406,ssp585,4432.0,0.0,0.0,0.0,0.0,0.0,0.0
FJI,Fiji,121,0.502643245961831,0.8181818181818182,1.0,1.0,0.3257866922445669,0.3304591111962686,ssp585,48811.0,5564.0,27088891.0,3911.0,18594698.0,2796.7070205316277,13616048.10174623
PYF,FrenchPolynesia,3,0.5000126210356561,1.0,1.0,1.0,0.35080076338107546,0.42035753874427506,ssp585,126.0,1753.0,0.0,122.0,0.0,876.5221246755052,0.0
MTQ,Martinique,21,0.4785183268899982,0.7619047619047619,1.0,1.0,0.2349437410969118,0.31750297171836656,ssp585,1944.0,2384.0,0.0,620.0,0.0,1140.7876913057557,0.0
SLB,SolomonIslands,125,0.4750598835201275,0.696,1.0,1.0,0.31121444160957307,0.3133555969678469,ssp585,51928.0,12568.0,15205621.486379,4837.0,5852131.693954,5970.552616080962,7223580.772170356
JAM,Jamaica,22,0.4727518956508323,0.7727272727272727,1.0,1.0,0.22836193787962608,0.3086083228505267,ssp585,9767.0,9981.0,163076058.0,2804.0,40149921.0,4718.5366704909575,77094515.55476508
BRB,Barbados,1,0.4726276034115071,1.0,1.0,1.0,0.25560315156595936,0.3454220990262375,ssp585,11.0,0.0,0.0,0.0,0.0,0.0,0.0
GLP,Guadeloupe,33,0.47193781953278435,0.9090909090909091,1.0,1.0,0.2340265266792163,0.3162634481542929,ssp585,3415.0,2631.0,0.0,1016.0,0.0,1241.6684031907557,0.0
CUB,Cuba,553,0.4678012026230943,0.48282097649186256,1.0,0.9981916817359855,0.21878532503787296,0.2956664882561815,ssp585,342417.0,29447.0,287496675.522528,9227.0,90084960.269174,13775.34201364226,134491290.55958012
MEX,Mexico,2222,0.4640346039880698,0.40324032403240323,1.0,1.0,0.191556450959122,0.25327170252448405,ssp585,1004711.0,104691.0,1239455750.0,161141.0,1364288402.0,48580.246726115016,575150358.111986
SYC,Seychelles,4,0.4630669480349552,1.0,1.0,1.0,0.2346143919947115,0.29310845220683296,ssp585,227.0,5287.0,33278197.0,652.0,13548792.0,2448.234954260808,15410033.120896002
