lon,lat,tc_records,mean_wind,p90_wind,intense_share,major_share,freq_norm,wind_norm,baseline_tc_hazard
-179.5,-25.5,1,39.74597930908203,39.74597930908203,0.0,0.0,0.007142857142857143,0.3989466204423514,0.10295094082487356
-179.5,-24.5,2,38.27980995178223,41.37882270812988,0.0,0.0,0.014285714285714285,0.38423008004609466,0.10248609144009509
-179.5,-23.5,4,36.38408279418945,40.85717620849609,0.0,0.0,0.02857142857142857,0.3652018926432595,0.10415761601795773
-179.5,-22.5,6,38.815690994262695,44.03129959106445,0.0,0.0,0.04285714285714286,0.38960893684049386,0.11668794849583775
-179.5,-21.5,3,40.85717646280924,43.970594024658205,0.0,0.0,0.02142857142857143,0.4101001599155462,0.1121678971217437
-179.5,-20.5,15,38.9578488667806,46.72081527709961,0.0,0.06666666666666667,0.10714285714285714,0.3910358334422675,0.1593065774081859
-179.5,-19.5,24,42.3370623588562,54.32739143371582,0.0,0.16666666666666666,0.17142857142857143,0.42495437881092335,0.21671478517892132
-179.5,-18.5,43,41.829836379650025,52.458929443359395,0.023255813953488372,0.11627906976744186,0.30714285714285716,0.41986314458490875,0.2687614672093501
-179.5,-17.5,36,43.351090007358124,58.368865966796875,0.1111111111111111,0.1388888888888889,0.2571428571428571,0.435132588291159,0.2633863216759644
-179.5,-16.5,52,43.23025050530067,57.76130676269531,0.057692307692307696,0.17307692307692307,0.37142857142857144,0.43391967287682565,0.31600739074667894
-179.5,-15.5,87,45.0956082837335,62.10373229980469,0.16091954022988506,0.25287356321839083,0.6214285714285714,0.4526430304228702,0.4594702814152414
-179.5,-14.5,108,45.8672948413425,59.88544921875,0.10185185185185185,0.3055555555555556,0.7714285714285715,0.4603887634391543,0.533536344298942
-179.5,-13.5,99,48.58278193618312,61.1890510559082,0.15151515151515152,0.43434343434343436,0.7071428571428572,0.48764521599544947,0.5421457917333501
-179.5,-12.5,111,48.187269331098676,62.674766540527344,0.2072072072072072,0.36036036036036034,0.7928571428571428,0.4836752945119767,0.5704973307065012
-179.5,-11.5,105,49.344775499616354,62.871282958984374,0.1523809523809524,0.45714285714285713,0.75,0.49529365647207024,0.5679900807846843
-179.5,-10.5,66,49.49695957068241,66.93179321289062,0.24242424242424243,0.42424242424242425,0.4714285714285714,0.496821190121822,0.4454390637642217
-179.5,-9.5,48,49.420962731043495,65.43064651489259,0.16666666666666666,0.4166666666666667,0.34285714285714286,0.49605837881699866,0.378300308989964
-179.5,-8.5,42,50.72924395969936,77.37347564697265,0.2619047619047619,0.35714285714285715,0.3,0.5091901316089386,0.35991658052128234
-179.5,-7.5,23,53.525484002154805,71.93476715087891,0.2608695652173913,0.5217391304347826,0.16428571428571428,0.537257134467471,0.3386776376541349
-179.5,-6.5,7,43.16703305925642,56.38311157226563,0.14285714285714285,0.2857142857142857,0.05,0.4332851335626418,0.20224985481923188
-179.5,-5.5,2,49.342939376831055,56.44844627380371,0.0,0.5,0.014285714285714285,0.4952752265580853,0.23024737806809276
-179.5,-4.5,2,34.55008888244629,34.90402717590332,0.0,0.0,0.014285714285714285,0.3467933470313365,0.09312690818640555
-179.5,-3.5,1,46.464622497558594,46.464622497558594,0.0,0.0,0.007142857142857143,0.4663843849809214,0.11981038195951606
-179.5,4.5,1,46.449188232421875,46.449188232421875,0.0,0.0,0.007142857142857143,0.4662294649607749,0.11977165195447943
-179.5,5.5,2,53.53051567077637,62.52506065368652,0.5,0.5,0.014285714285714285,0.5373076393795817,0.29075548127346684
-179.5,6.5,4,54.68544292449951,62.4062255859375,0.25,0.75,0.02857142857142857,0.5489001157190522,0.3250821717869059
-179.5,7.5,4,50.567317962646484,68.91137886047363,0.25,0.5,0.02857142857142857,0.5075648142709597,0.26474834642488276
-179.5,8.5,15,46.8315923055013,57.385247802734376,0.06666666666666667,0.4,0.10714285714285714,0.47006781075701415,0.25239790507020593
-179.5,9.5,20,48.122932815551756,61.84239540100098,0.25,0.4,0.14285714285714285,0.4830295226403395,0.29004309494579916
-179.5,10.5,18,51.31811968485514,65.80259017944336,0.2222222222222222,0.5555555555555556,0.12857142857142856,0.5151009176681905,0.3199657056075238
-179.5,11.5,26,47.71887691204365,58.09621047973633,0.07692307692307693,0.4230769230769231,0.18571428571428572,0.47897384858282527,0.29562258302482713
-179.5,12.5,25,47.73200744628906,66.27999420166016,0.16,0.32,0.17857142857142858,0.47910564511552794,0.28013355413602486
-179.5,13.5,22,44.01142345775258,63.509710693359395,0.13636363636363635,0.22727272727272727,0.15714285714285714,0.44176062471092603,0.24024535098292635
-179.5,14.5,12,41.890782038370766,52.96874313354492,0.0,0.25,0.08571428571428572,0.4204748810422796,0.19369014883199848
