acid,epoxide,tg,std,tg_calibrated,tg_calibrated_std,acq_score,target,score,design_rationale,candidate_id,priority_score
COc1ccc(OC)c(CCCNC(=O)C(CCC(=O)O)CCC(=O)O)c1,Cn1c(=O)c(CNC(=O)c2cccc(OCC3CO3)c2OCC2CO2)cc2ccccc21,415.1078,11.8078,350.0012191801509,53.827358555062304,-61.92467703658977,350,5.381516675355347,exploitative-near-target,C001,2.455090009738027
COc1cc(CN(C)CCC(=O)O)cc(CCC(=O)O)c1O,O=C(NC1CCN(C(=O)C=Cc2ccc(OCC3CO3)c(OCC3CO3)c2)CC1)c1ccccc1,415.0564,12.0955,349.9576777500801,53.827345752983724,-61.968220386972334,350,5.340412325378481,exploitative-near-target,C009,2.4452250626571974
COc1cc(Oc2ccccc2)ccc1NC(=O)C(=O)N(CCOCC(=O)O)CCOCC(=O)O,COc1ccccc1N1CCN(CC(=O)c2ccc(OCC3CO3)c(OCC3CO3)c2)CC1,415.1575,12.4777,350.04331969448276,53.82737092095172,-61.882574667374485,350,5.3394173976124115,exploitative-near-target,C010,2.4374825765993107
Cc1cc(N(CCC(=O)O)CCC(=O)O)ncn1,CN(Cc1ccc(OCC2CO2)cc1)C(=O)CCc1ccc2ccccc2c1OCC1CO1,415.1711,14.1395,350.0548400148432,53.82737430258949,-61.87105383976838,350,5.327897415415755,exploitative-near-target,C012,2.4030947136451553
CC(C)(CCC(=O)Nc1ccc(COCC(=O)O)c(COCC(=O)O)c1)c1ccccc1,O=C(c1cccnc1)c1ccc(OCC2CO2)cc1OCC1CO1,415.1102,16.2635,350.0032522216565,53.82735915249585,-61.922643905469116,350,5.379483693593076,exploitative-near-target,C002,2.365772735459142
COCCOc1ccc(NC(=O)N(CCCOCC(=O)O)CCOCC(=O)O)cc1,CNC(=O)COc1ccc(NC(=O)C(=O)N(CC2CO2)CC2CO2)c(C)c1,415.0372,16.012,349.94141302351807,53.827340967435894,-61.98448583136655,350,5.324147120261657,exploitative-near-target,C014,2.3652683507236016
COc1ccc(C2(C(=O)N(CCC(=O)O)CCC(=O)O)CCC2)cc1OC,O=C(c1ccc(OCC2CO2)cc1OCC1CO1)N1CCC(CCCO)CC1,415.1327,16.6407,350.0223118938655,53.82736475201682,-61.903583393331985,350,5.36042458133619,exploitative-near-target,C005,2.356323048214292
Cc1ccc2cc(C(=O)Nc3ccc(COCC(=O)O)c(COCC(=O)O)c3)ccc2n1,O=C(CNC(=O)c1ccc(OCC2CO2)cc1OCC1CO1)NCCN1CCOCC1,415.0774,20.6308,349.97546715556973,53.8273509850275,-61.950430196676145,350,5.358202254072482,exploitative-near-target,C008,2.2762982648083483
CC(C)(CCC(=O)O)CNC(=O)N(CCC(=O)O)CCc1ccccc1,CN(Cc1ccc(N(C)C)cc1)C(=O)COC(=O)c1ccc(OCC2CO2)cc1OCC1CO1,415.0382,21.4419,349.94226014762404,53.82734121673078,-61.983638669866345,350,5.324994269297118,exploitative-near-target,C013,2.256755075598943
CCN(CCC(=O)O)CCC(=O)O,O=C(c1ccc(CN2C(=O)CNC2=O)cc1)N(CC1CO1)CC1CO1,415.0924,23.1532,349.98817378476696,53.8273547208305,-61.93772300710847,350,5.370909256850007,exploitative-near-target,C003,2.2271211145182206
O=C(O)CCN(CCC(=O)O)C(=O)c1ccc(NC(=O)Cc2ccc(NC(=O)C3CC3)cc2)cc1,CCCCN(CC(N)=O)C(=O)c1ccc(OCC2CO2)cc1OCC1CO1,415.1335,24.9694,350.0229895680474,53.82736495106017,-61.902905689293554,350,5.359746927058596,exploitative-near-target,C006,2.189681290748266
CCC(CC)(CNC(=O)Nc1ccc(CCC(=O)O)cc1)C(=O)O,O=C(CCc1ccc2ccccc2c1OCC1CO1)NCc1ccc(OCC2CO2)cc1,415.1782,25.1539,350.0608542756072,53.82737606762745,-61.86503931424868,350,5.321883331155547,exploitative-near-target,C015,2.182205375820653
Cc1ccccc1C(=O)N(CCO)CCNC(=O)C(CCC(=O)O)CCC(=O)O,Cc1cccc(NC(=O)CN(C)C(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1C,415.1209,29.8536,350.0123161753744,53.82736181569889,-61.913579552270775,350,5.370420006195495,exploitative-near-target,C004,2.093064473247505
Cc1cccn2cc(COc3ccc(C(=O)N(CCC(=O)O)CCC(=O)O)cc3)nc12,CC(C)NC(=O)CCNC(=O)C=Cc1ccc(OCC2CO2)c(OCC2CO2)c1,415.1577,32.2475,350.04348911144405,53.827370970687625,-61.882405242952814,350,5.339247985624716,exploitative-near-target,C011,2.0420696373899765
