hex_id,lat,lon,theo_pv,theo_wind,grid_dist_km,road_dist_km,ocean_dist_km,waterbody_dist_km,lcoh_production,lcoe_mix,pv_cf,wind_cf,scenario,wacc,conversion_cost,shipping_cost,reconversion_cost,total_efficiency,lcoh_delivered,eu_production_cost,cost_difference,competitive
hex_000,-19.71252741732844,21.42667018270944,0.6634168884306757,0.6221119988358864,148.1040023836202,99.3287389791286,401.9486959865509,209.80741851465152,2.9757490924546435,0.04300381148801792,0.24542711105383447,0.3841913596740482,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,6.03076151372507,1.7935494639302387,4.237212049794831,False
hex_001,-23.73345872297537,24.54513625407894,0.8468278354591481,0.6169796764044917,164.2124173809309,107.64313184893224,403.1165214670598,176.4293997201662,3.0181748667272967,0.043831942217063706,0.2683534794323935,0.38275430939325766,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,6.099634523907949,1.7935494639302387,4.30608505997771,False
hex_002,-18.69682496106341,15.561555013934129,0.5817130228384195,0.649807766345918,25.688858679272823,17.689641590834682,238.2976785700376,63.933817239716994,2.162618148561014,0.027131886156760886,0.23521412785480245,0.391946174576857,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,4.710743747663983,1.7935494639302387,2.9171942837337443,False
hex_003,-20.631583651287634,16.186435884488162,0.7165114970014225,0.5352271773235865,106.87281353179937,66.93030108114688,149.00878280554892,242.2167352237675,2.69260356847135,0.03747694690576144,0.25206393712517783,0.3598636096506042,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,5.5711096890768665,1.7935494639302387,3.777560225146628,False
hex_004,-27.86987182534821,17.57378135786131,0.7662753065105006,0.486505253193377,15.195472596163658,13.920513195117785,349.6854701288347,216.0451032366615,2.088820558867141,0.025691392664237842,0.2582844133138126,0.34622147089414557,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,4.590942465693411,1.7935494639302387,2.7973930017631723,False
hex_005,-17.292531780358928,13.65259902718,0.8086222331359278,0.5380422683640402,126.02775071490714,80.99657107173759,301.13095579381485,223.0002811550848,2.7943038508866316,0.03946208755350718,0.263577779141991,0.3606518351419312,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,5.736207550140635,1.7935494639302387,3.942658086210396,False
hex_006,-19.866323576115764,12.818901074696605,0.8211226579792855,0.2968998349062955,85.8159970215324,34.46682027684199,174.40940070443244,43.66203670940741,2.5758294892015736,0.03519757298608112,0.2651403322474107,0.2931319537737627,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,5.381541378573982,1.7935494639302387,3.5879919146437436,False
hex_007,-19.567228336676557,17.65986896716307,0.8293347235199925,0.3329331291365369,40.40842627218149,79.4712935283363,51.56533394706672,41.50737207685166,2.4361596565287575,0.03247128496093606,0.26616684043999905,0.3032212761582303,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,5.154804637222009,1.7935494639302387,3.36125517329177,False
hex_008,-27.46263640789345,14.176730886712376,0.7151274927751562,0.3515950581468396,30.333727092025157,87.51235910013904,338.58742899357145,278.63095254691973,2.4340459762594664,0.03243002693766161,0.25189093659689454,0.3084466162811151,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,5.151373338083548,1.7935494639302387,3.3578238741533095,False
hex_009,-23.5953687452532,20.377395925555145,0.7037648207335433,0.4004129758597777,148.97292018353946,92.4690515382012,125.48262700606044,122.28556717835748,3.034758967340805,0.044155655892702754,0.2504706025916929,0.3221156332407377,Optimistic_DeRisked,0.05,0.25,0.35,0.6,0.616,6.1265567651636434,1.7935494639302387,4.333007301233405,False
