region,method,n_datasets,n_records,min_start,max_end,mean_duration_years
alaska,altimetry,1,120,2010.6666666666667,2020.6666666666667,0.08333333333333333
alaska,combined,4,121,1970.75,2024.75,1.0
alaska,demdiff,1,4,2000.0,2020.0,5.0
alaska,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
alaska,gravimetry,5,987,2002.1666666666667,2023.1666666666667,1.6500000000000152
antarctic_and_subantarctic,altimetry,3,124,2003.0833333333333,2023.3333333333333,4.277777777777778
antarctic_and_subantarctic,combined,2,56,1990.25,2024.25,1.0
antarctic_and_subantarctic,demdiff,1,4,2000.0,2020.0,5.0
antarctic_and_subantarctic,glaciological,2,326,1999.1666666666667,2024.25,0.5416666666666665
arctic_canada_north,altimetry,4,125,2003.0833333333333,2023.3333333333333,4.937500000000019
arctic_canada_north,combined,5,122,1970.75,2024.75,2.0
arctic_canada_north,demdiff,2,5,2000.0,2021.5,7.125
arctic_canada_north,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
arctic_canada_north,gravimetry,7,1477,2002.1666666666667,2023.1666666666667,1.2023809523809634
arctic_canada_south,altimetry,4,125,2003.0833333333333,2023.3333333333333,4.937500000000019
arctic_canada_south,combined,5,122,1970.75,2024.75,2.0
arctic_canada_south,demdiff,2,5,2000.0,2021.5,7.125
arctic_canada_south,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
arctic_canada_south,gravimetry,7,1477,2002.1666666666667,2023.1666666666667,1.2023809523809634
caucasus_middle_east,combined,2,56,1990.75,2024.75,1.0
caucasus_middle_east,demdiff,1,4,2000.0,2020.0,5.0
caucasus_middle_east,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
caucasus_middle_east,gravimetry,2,237,2002.1666666666667,2021.8333333333333,4.000000000000037
central_asia,altimetry,4,103,2000.0833333333333,2021.1666666666667,7.791666666666704
central_asia,combined,3,57,1990.75,2024.75,6.333333333333333
central_asia,demdiff,2,5,2000.0,2020.0,10.5
central_asia,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
central_asia,gravimetry,4,736,2002.1666666666667,2023.1666666666667,2.0416666666666856
central_europe,combined,2,56,1990.75,2024.75,1.0
central_europe,demdiff,2,5,2000.0,2020.0,8.458333333333258
central_europe,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
central_europe,gravimetry,3,485,2002.1666666666667,2022.9166666666667,2.6944444444444695
greenland_periphery,altimetry,5,484,1992.0,2021.9166666666667,3.3722222222222475
greenland_periphery,combined,3,57,1990.75,2024.75,2.6666666666666665
greenland_periphery,demdiff,3,6,2000.0,2021.5833333333333,7.027777777777753
greenland_periphery,glaciological,2,326,1999.6666666666667,2024.75,0.5416666666666665
