year,global_total_mass_change_gt,global_total_mass_change_uncertainty_gt,global_specific_mass_change_mwe,global_specific_mass_change_uncertainty_mwe,glacier_area
2000,-78.04414729402814,111.56095088251794,-0.1111786793375206,0.1583621138501352,704082.6956499998
2001,-215.16931097001844,95.3001011576375,-0.3075164866023069,0.1350498121659405,701805.4987500003
2002,-128.46636738674923,91.14634450070768,-0.1841997326262217,0.1289299604899674,699528.3018500003
2003,-192.6724697716301,72.79887688516011,-0.2771630264606625,0.1028951725208123,697251.1049500001
2004,-229.2369109878561,73.022158218317,-0.3308421919121849,0.1028436503023272,694973.9080500001
2005,-315.0371756633185,74.19065798809451,-0.4561666396999292,0.1044578602427483,692696.71115
2006,-279.8898739792978,72.77317030930298,-0.4066108567264724,0.1025138185768302,690419.51425
2007,-323.16570882967466,71.78509732133082,-0.4710335566158922,0.1010360421851532,688142.31735
2008,-178.6324817323364,71.86184704387401,-0.2612321087124307,0.1011209402057232,685865.12045
2009,-231.2381243724868,71.29354455724742,-0.3392890923913098,0.1001020384598227,683587.9235500002
2010,-231.1966727048064,72.2582027545506,-0.3403621001158775,0.101352981542154,681310.7266500002
2011,-365.9472468839626,68.11267549573648,-0.540545313270877,0.0950926143458494,679033.5297499998
2012,-188.0208512243996,67.35045471659744,-0.2786624991943321,0.0941254547446842,676756.3328500001
2013,-304.73798136525033,66.47051377096227,-0.4531718327704068,0.0925856747213776,674479.1359500001
2014,-149.889416279315,65.94044282966604,-0.2236536803279121,0.0920570437100916,672201.9390499997
2015,-284.97423508815865,66.77259130583126,-0.4266624477275931,0.0932270670335857,669924.74215
2016,-340.6076946742656,68.35959222730513,-0.5116960211749099,0.0952916518024702,667647.5452499996
2017,-217.68675972042345,66.39070274109359,-0.3281507593734814,0.0924077513562398,665370.3483500001
2018,-243.81282612823085,66.54077158950466,-0.3687965484035694,0.0924649491234518,663093.1514499999
2019,-412.9645781490086,69.99144862252744,-0.6268117422048606,0.0969733224466875,660815.9545499999
2020,-405.0394156368366,76.20680182507151,-0.6169085501621713,0.1065416966938755,658538.75765
2021,-217.7163545547422,81.6846283807594,-0.3327506622695744,0.1151000186974428,656261.5607500002
2022,-460.2989143829609,100.8285184125692,-0.7059556646949124,0.138700930079604,653984.3638500002
2023,-548.025110248126,120.16099017378784,-0.8434372990227316,0.1662574332317422,651707.1669499998
