,mw_stat,pval,significant
Int_Med_cycB1_ring,902099.0,0.5067363822974206,False
Int_Med_cycB1_cyto,902099.0,0.5067363822974206,False
Int_Med_cycB1_cell,903067.0,0.476586699421338,False
Int_Med_cycA_nuc,881396.0,0.7188538116159257,False
Int_Intg_DNA_nuc,910795.0,0.27394659594762893,False
Int_MeanEdge_cycB1_cell,893869.0,0.7972807954136153,False
Int_Med_Skp2_nuc,894676.0,0.766633142587314,False
Int_Med_cycA_ring,864327.0,0.22815838978030978,False
Int_Med_cycA_cyto,864327.0,0.22815838978030978,False
Int_MeanEdge_AKT_cell,894870.0,0.7593177789907626,False
Int_Med_pH2AX_nuc,884204.0,0.8250076838987146,False
Int_Med_S6_cell,885958.0,0.8931188072306597,False
Int_Med_CDK2_nuc,888305.0,0.9854192380184781,False
Int_Med_cFos_nuc,889659.0,0.9612034675025986,False
Int_Med_E2F1_nuc,856622.0,0.1128973456834153,False
Int_MeanEdge_YAP_cell,886571.0,0.9171391689244978,False
Int_Med_ERK_cell,878751.0,0.6235581910659407,False
Int_Med_cycA_cell,1044009.0,1.5099398344467964e-14,True
AreaShape_Area_nuc,897071.0,0.6779675197994532,False
Int_MeanEdge_p38_cell,854210.0,0.08826970994754203,False
Int_MeanEdge_pGSK3b_cell,904774.0,0.42590211600477323,False
Int_Std_PCNA_nuc,888727.0,0.9979676597252375,False
Int_Med_S6_cyto,881448.0,0.720772485046625,False
Int_Med_S6_ring,881448.0,0.720772485046625,False
Int_Med_ERK_ring,879044.0,0.6338445706660132,False
Int_Med_ERK_cyto,879044.0,0.6338445706660132,False
Int_Med_pS6_cyto,871785.0,0.403515338931853,False
Int_Med_pS6_ring,871785.0,0.403515338931853,False
Int_Med_cycB1_nuc,895384.0,0.7400408077790097,False
Int_Med_BP1_nuc,876313.0,0.5409358203735765,False
