n_features,composite_corr,variance_corr,random_corr
5,0.6861646126765052,0.5439455044365975,-0.018725541766746585
10,0.5674893624498049,0.6341788659612704,0.018148003935175194
15,0.650198711246829,0.46925361285472295,0.07114382392767933
20,0.6560423858495616,0.5912222864159438,0.04206206017717364
25,0.6542225536177553,0.576929509848355,0.13028519615055034
30,0.6709402266327423,0.6591010098598998,0.14130484121374942
40,0.549679222917065,0.7283146655656151,0.1809196119232491
50,0.6930080401100002,0.6352719557575305,0.16307732490248983
75,0.5468374750158701,0.5820496186510462,0.2650372781232843
100,0.4748511514789449,0.5237482775205522,0.19488602343054118
150,0.3021119782915892,0.3315013515214457,0.20034048341682612
200,0.24607464778087187,0.23558831134757874,0.15260820560808877
241,0.12971345947667245,0.1297147081775218,0.12996611088115465
