feature,spearman_pt,pearson_pt,spearman_age,overall_var,trajectory_var,dynamic_ratio,autocorrelation,f_stat_phase,p_anova,f_stat_batch,p_batch,batch_confound_ratio,dynamism_score
Int_Med_cycB1_cyto,0.5732328968146135,0.59828776,0.560699121186191,0.012809334,0.005517834,0.43076664,0.44449264820639256,1122.0647,0.0,0.0003450942,0.9851801,3.0755285e-07,0.8839583333333334
Int_Med_cycB1_ring,0.5732328968146135,0.59828776,0.560699121186191,0.012809334,0.005517834,0.43076664,0.44449264820639256,1122.0647,0.0,0.0003450942,0.9851801,3.0755285e-07,0.8839583333333334
Int_Med_cycB1_cell,0.5896424293568989,0.6117028,0.5493045847193913,0.011533205,0.0051571606,0.44715762,0.45479310464844325,1070.4164,0.0,0.00038629468,0.9843205,3.6088264e-07,0.8831249999999999
Int_Med_cycA_nuc,0.4932661277031267,0.5722613,0.73238994282907,0.02450445,0.009650691,0.39383426,0.3978888317131766,1801.4132,0.0,2.8734186e-05,0.99572337,1.5950913e-08,0.8691666666666668
Int_Intg_DNA_nuc,0.5148446499403155,0.54290277,0.7359945236404305,0.013663305,0.005066213,0.37078974,0.3776387672978405,1734.448,0.0,0.00235049,0.9613357,1.3551805e-06,0.8550000000000001
Int_Med_CDK2_nuc,0.546130547604814,0.530537,0.6007035083485317,0.015399673,0.0050164955,0.32575336,0.32465024523598485,543.07025,0.0,0.0007564947,0.97805935,1.3929961e-06,0.8439583333333334
Int_Med_cycA_ring,0.5425623118810144,0.56895894,0.2937574364225623,0.004198548,0.0017659743,0.4206155,0.43231343147627593,367.8862,0.0,0.00035595108,0.9849488,9.675575e-07,0.8414583333333333
Int_Med_cycA_cyto,0.5425623118810144,0.56895894,0.2937574364225623,0.004198548,0.0017659743,0.4206155,0.43231343147627593,367.8862,0.0,0.00035595108,0.9849488,9.675575e-07,0.8414583333333333
Int_MeanEdge_cycB1_cell,0.5001733790132035,0.56393987,0.274448762228661,0.016827978,0.00646918,0.38443002,0.36898365019831836,325.64673,0.0,0.00068796694,0.97907645,2.1126173e-06,0.8335416666666668
Int_Med_Skp2_nuc,0.45287619390452694,0.44807476,0.5137867003929676,0.031221697,0.008741989,0.27999723,0.2749589467883583,1066.6567,0.0,1.0521835e-05,0.9974121,9.864312e-09,0.8256249999999999
Int_Med_pH2AX_nuc,0.5000135206857677,0.4511016,0.5826144580301129,0.015501872,0.004199484,0.27090174,0.27792319955121736,456.50412,0.0,3.3799497e-05,0.99536175,7.403985e-08,0.818125
Int_Med_pS6_cyto,0.49168376944879194,0.49877086,0.10846889436826475,0.004241806,0.0012523971,0.29525092,0.3096189376441635,81.066574,0.0,0.00024560632,0.9874973,3.0296867e-06,0.7764583333333334
Int_Med_pS6_ring,0.49168376944879194,0.49877086,0.10846889436826475,0.004241806,0.0012523971,0.29525092,0.3096189376441635,81.066574,0.0,0.00024560632,0.9874973,3.0296867e-06,0.7764583333333334
Int_Med_cycA_cell,0.5639617681157028,0.4852987,0.28653325024829934,0.00065534655,0.00020836994,0.31795382,0.4304761889316791,167.88301,0.0,0.00016354446,0.98979753,9.741573e-07,0.7685416666666666
Int_Med_pS6_cell,0.5066595123331674,0.4871605,0.13543170062563095,0.0028945638,0.0008191651,0.2830012,0.29008896145009383,84.44383,0.0,0.00015043844,0.9902148,1.7815207e-06,0.7668750000000001
Int_Med_S6_cell,0.526739438519565,0.54060245,0.09848727986970829,0.013303729,0.0041982224,0.31556734,0.3201919079907151,25.409775,3.2708426e-16,0.0006181089,0.980167,2.4325635e-05,0.7558333333333334
Int_Med_ERK_cell,0.5655931065902174,0.59470093,0.08446699430615631,0.010498845,0.00394347,0.37560987,0.3534852490873213,36.64078,3.254993e-23,0.01569915,0.9002981,0.00042846112,0.75375
Int_Med_ERK_ring,0.5523007166939207,0.57733816,0.07848939123929342,0.010058869,0.0035766652,0.3555733,0.343444325196408,29.541193,8.559644e-19,0.019827636,0.8880298,0.000671186,0.7306250000000001
Int_Med_ERK_cyto,0.5523007166939207,0.57733816,0.07848939123929342,0.010058869,0.0035766652,0.3555733,0.343444325196408,29.541193,8.559644e-19,0.019827636,0.8880298,0.000671186,0.7306250000000001
Int_Med_cycB1_nuc,0.31607928376493877,0.4036362,0.4304464779673577,0.009459314,0.0024172824,0.25554523,0.2621423835481725,372.15274,0.0,0.00024055806,0.98762643,6.46396e-07,0.72375
Int_Med_S6_ring,0.509653494180737,0.5239638,0.07586815438434266,0.014904039,0.004444101,0.29818097,0.30471271228230085,20.098452,6.9626493e-13,0.00070201437,0.97886395,3.492878e-05,0.7229166666666668
Int_Med_S6_cyto,0.509653494180737,0.5239638,0.07586815438434266,0.014904039,0.004444101,0.29818097,0.30471271228230085,20.098452,6.9626493e-13,0.00070201437,0.97886395,3.492878e-05,0.7229166666666668
Int_Med_p38_cell,0.5172349611476382,0.55821437,-0.015064807256720804,0.011759651,0.003768832,0.32048842,0.32486056534101476,14.898263,1.2753509e-09,0.0028291938,0.9575842,0.00018990092,0.6954166666666668
AreaShape_Area_nuc,0.3815830126775132,0.34746754,0.7146348635615427,0.0075154626,0.0012783797,0.17009993,0.15832054739660503,493.74365,0.0,0.00015573681,0.990044,3.1542038e-07,0.6900000000000001
Int_Med_YAP_cell,0.4606764083853854,0.5040618,0.025633598053227194,0.011011296,0.0029908668,0.27161807,0.2592078341084604,9.787223,2.021475e-06,1.0132955e-05,0.99746037,1.0353249e-06,0.685625
