cluster,core_element,shell_element,core_category,shell_category,observed_mismatch,target_mismatch,target_low,target_high,core_energy,shell_energy,stability_score,within_target_range
Ni55@Cu92,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,-2.35,-4.82,-0.20935806451612904,True
Ni55@Cu147,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,-2.35,-4.82,-0.20935806451612904,True
Cu55@Ag92,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,-2.35,-4.61,-0.19779999999999992,True
Cu55@Ag147,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,-2.35,-4.61,-0.19779999999999992,True
Ni55@Ag92,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,-2.35,-4.61,-0.18028387096774207,False
Ni55@Ag147,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,-2.35,-4.61,-0.18028387096774207,False
K55@Cs92,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,-2.35,-4.61,-0.1588969162995597,False
K55@Cs147,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,-2.35,-4.61,-0.1588969162995597,False
Ni147@Cu192,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,-4.82,0.0,-0.13885806451612906,True
Rb55@Cs92,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,-2.35,-4.82,-0.13818064516129042,False
Rb55@Cs147,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,-2.35,-4.82,-0.13818064516129042,False
Cu147@Ag192,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,-4.82,0.0,-0.13359999999999994,True
Ni147@Ag192,Ni,Ag,MC,Ch1,0.16129032258064513,0.136,0.12,0.16,-4.82,0.0,-0.11608387096774207,False
K55@Rb92,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,-2.35,-4.61,-0.09658854625550657,False
K55@Rb147,K,Rb,MC,Ch1,0.09251101321585901,0.136,0.12,0.16,-2.35,-4.61,-0.09658854625550657,False
K147@Cs192,K,Cs,MC,Ch1,0.16740088105726866,0.136,0.12,0.16,-4.82,0.0,-0.0946969162995597,False
Rb147@Cs192,Rb,Cs,MC,MC,0.06854838709677416,0.038,0.03,0.05,-4.82,0.0,-0.06768064516129045,False
Ni13@Cu32,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,0.0,-2.35,-0.06475806451612906,True
Ni13@Cu42,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,0.0,-2.35,-0.06475806451612906,True
Ni13@Cu45,Ni,Cu,MC,MC,0.03225806451612906,0.038,0.03,0.05,0.0,-2.35,-0.06475806451612906,True
K55@Rb92,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,-2.35,-4.82,-0.05431145374449345,False
K55@Rb147,K,Rb,MC,MC,0.09251101321585901,0.038,0.03,0.05,-2.35,-4.82,-0.05431145374449345,False
Cu13@Ag32,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,0.0,-2.15,-0.05349999999999992,True
Cu13@Ag42,Cu,Ag,MC,Ch1,0.12499999999999993,0.136,0.12,0.16,0.0,-2.15,-0.05349999999999992,True
