lattice_a,lattice_b,mean_axis,anisotropy,pseudo_volume,stability_score
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
5.6789,5.3456,5.51225,0.3332999999999995,30.35712784,0.8088556379777972
