node_0,node_1,node_2,node_3,node_4,feature_mean,feature_std,feature_min,feature_max,graph_density,target
-2.0,-1.5,-1.0,-0.5,0.0,-1.0,0.7071067811865476,-2.0,0.0,1.0,-1.2345
0.5,1.0,1.5,2.0,-1.8,0.64,1.3184839779079607,-1.8,2.0,1.0,-0.8765
-1.3,-0.8,-0.3,0.2,0.7,-0.29999999999999993,0.7071067811865476,-1.3,0.7,1.0,0.1234
1.2,1.7,2.2,-1.6,-1.1,0.47999999999999987,1.535447817413539,-1.6,2.2,1.0,-0.5678
-0.6,-0.1,0.4,0.9,1.4,0.4,0.7071067811865476,-0.6,1.4,1.0,0.9876
1.9,2.4,-1.4,-0.9,-0.4,0.32,1.5354478174135389,-1.4,2.4,1.0,-0.3456
0.1,0.6,1.1,1.6,2.1,1.1,0.7071067811865476,0.1,2.1,1.0,0.6543
2.6,-1.2,-0.7,-0.2,0.3,0.16000000000000006,1.3184839779079607,-1.2,2.6,1.0,-0.789
0.8,1.3,1.8,2.3,2.8,1.8,0.7071067811865475,0.8,2.8,1.0,0.4321
-1.0,-0.5,0.0,0.5,1.0,0.0,0.7071067811865476,-1.0,1.0,1.0,-0.2109
1.5,2.0,2.5,3.0,-0.8,1.64,1.3184839779079607,-0.8,3.0,1.0,0.8765
-0.3,0.2,0.7,1.2,1.7,0.7,0.7071067811865476,-0.3,1.7,1.0,-0.5432
2.2,2.7,3.2,-0.6,-0.1,1.4800000000000004,1.535447817413539,-0.6,3.2,1.0,0.321
0.4,0.9,1.4,1.9,2.4,1.4,0.7071067811865475,0.4,2.4,1.0,-0.0987
2.9,3.4,-0.4,0.1,0.6,1.3199999999999998,1.5354478174135389,-0.4,3.4,1.0,0.7654
1.1,1.6,2.1,2.6,3.1,2.1,0.7071067811865476,1.1,3.1,1.0,-0.4567
3.6,-0.2,0.3,0.8,1.3,1.16,1.318483977907961,-0.2,3.6,1.0,0.2345
1.8,2.3,2.8,3.3,3.8,2.8,0.7071067811865475,1.8,3.8,1.0,-0.6789
0.0,0.5,1.0,1.5,2.0,1.0,0.7071067811865476,0.0,2.0,1.0,0.9012
2.5,3.0,3.5,4.0,0.2,2.6399999999999997,1.3184839779079607,0.2,4.0,1.0,-0.3456
0.7,1.2,1.7,2.2,2.7,1.7,0.7071067811865477,0.7,2.7,1.0,0.5678
3.2,3.7,4.2,0.4,0.9,2.4800000000000004,1.535447817413539,0.4,4.2,1.0,-0.1234
1.4,1.9,2.4,2.9,3.4,2.4,0.7071067811865476,1.4,3.4,1.0,0.789
3.9,4.4,-2.0,-1.5,-1.0,0.7600000000000001,2.790412155936825,-2.0,4.4,1.0,-0.4567
-0.5,0.0,0.5,1.0,1.5,0.5,0.7071067811865476,-0.5,1.5,1.0,0.2345
2.0,-1.8,-1.3,-0.8,-0.3,-0.44000000000000006,1.3184839779079607,-1.8,2.0,1.0,-0.6789
0.2,0.7,1.2,1.7,2.2,1.2,0.7071067811865476,0.2,2.2,1.0,0.9012
-1.6,-1.1,-0.6,-0.1,0.4,-0.6000000000000001,0.7071067811865476,-1.6,0.4,1.0,-0.3456
0.9,1.4,1.9,2.4,-1.4,1.0399999999999998,1.3184839779079607,-1.4,2.4,1.0,0.5678
-0.9,-0.4,0.1,0.6,1.1,0.10000000000000002,0.7071067811865476,-0.9,1.1,1.0,-0.1234
1.6,2.1,2.6,-1.2,-0.7,0.8800000000000001,1.5354478174135389,-1.2,2.6,1.0,0.789
-0.2,0.3,0.8,1.3,1.8,0.8,0.7071067811865476,-0.2,1.8,1.0,-0.4567
2.3,2.8,-1.0,-0.5,0.0,0.72,1.5354478174135389,-1.0,2.8,1.0,0.2345
0.5,1.0,1.5,2.0,2.5,1.5,0.7071067811865476,0.5,2.5,1.0,-0.6789
3.0,-0.8,-0.3,0.2,0.7,0.5599999999999999,1.3184839779079607,-0.8,3.0,1.0,0.9012
1.2,1.7,2.2,2.7,3.2,2.2,0.7071067811865477,1.2,3.2,1.0,-0.3456
-0.6,-0.1,0.4,0.9,1.4,0.4,0.7071067811865476,-0.6,1.4,1.0,0.5678
1.9,2.4,2.9,3.4,-0.4,2.04,1.3184839779079607,-0.4,3.4,1.0,-0.1234
0.1,0.6,1.1,1.6,2.1,1.1,0.7071067811865476,0.1,2.1,1.0,0.789
2.6,3.1,3.6,-0.2,0.3,1.8800000000000003,1.535447817413539,-0.2,3.6,1.0,-0.4567
0.8,1.3,1.8,2.3,2.8,1.8,0.7071067811865475,0.8,2.8,1.0,0.2345
3.3,3.8,0.0,0.5,1.0,1.72,1.5354478174135389,0.0,3.8,1.0,-0.6789
1.5,2.0,2.5,3.0,3.5,2.5,0.7071067811865476,1.5,3.5,1.0,0.9012
