hour,Bus1-Bus2,Bus2-Bus3,Bus3-Bus4,Bus4-Bus5,Bus6-Bus7,Bus7-Bus8,Bus8-Bus9,Bus9-Bus10,Bus10-Bus11,Bus11-Bus12,Bus12-Bus13,Bus13-Bus14,Bus14-Bus15,Bus15-Bus16,Bus16-Bus17,Bus17-Bus18,Bus18-Bus19,Bus19-Bus20,Bus1-Bus6,Bus2-Bus7,Bus3-Bus8,Bus4-Bus9,Bus5-Bus10
0,-2574.3385,-5000.0,-3845.8118,-842.62315,-5000.0,-3084.5149,-3008.3638,-983.396,1443.4367,2395.5453,3065.6955,-5000.0,-4133.7131,-3269.0276,-2514.5946,-1625.5363,-1064.5574,-560.32455,1500.0,1500.0,1500.0,1500.0,1500.0
1,-1894.8072,-4249.45,-1199.8786,424.24948,2130.7258,-1762.4597,-4531.3054,-2540.1996,-207.73305,786.20568,804.37435,1178.9508,-4217.783,-3328.1936,-2497.2893,-1668.9348,-1059.7911,-555.55828,1500.0,1500.0,1500.0,1500.0,1500.0
2,-1790.2037,-4016.1798,-3942.2652,-935.16812,-3630.6422,-1653.2358,-3446.0512,-1450.8891,-382.78263,522.58366,989.37712,-5000.0,-4049.7294,-3304.427,-2538.6593,-1625.6613,-1128.3879,-582.33196,1500.0,1500.0,1500.0,1500.0,1500.0
3,-1750.6384,-3927.9475,1178.2795,2097.0586,-1005.0422,1024.1478,4618.8924,1330.3228,-773.33247,129.31248,-5000.0,-4534.2773,-4120.6925,-3376.356,-2604.0242,-1714.1015,-1185.7088,-612.09351,1500.0,1500.0,1500.0,1500.0,1500.0
4,-2116.5801,-4110.0108,-530.20844,-1372.7737,2153.52,1353.4095,5000.0,1053.8392,-176.94535,736.44594,-5000.0,-5000.0,-4213.8756,-3383.7001,-2626.3776,-1633.4515,-1144.8594,-585.1986,1500.0,1500.0,1500.0,1500.0,1500.0
5,-2247.9827,-4668.0337,-396.8658,-663.16485,1788.7504,3846.9421,568.11711,2565.6081,5000.0,2069.1261,-5000.0,-5000.0,-4346.3555,-3563.8619,-2734.3678,-1747.1299,-1209.8434,-580.52096,1500.0,1500.0,1500.0,1500.0,1500.0
6,-2354.7207,84.979154,1154.7409,-365.46636,2156.2243,3645.9259,-735.45427,1165.9206,3532.6119,-5000.0,-4478.0363,-4042.3302,-3970.307,-3183.4079,-2350.8873,-1463.8053,-1038.1213,-533.88845,1500.0,1500.0,1500.0,1500.0,1500.0
7,-2365.1582,-2700.1506,-941.91255,-1159.8095,2148.7955,-3257.8708,328.70556,-3.9738024,2512.8943,3421.3992,3930.2877,-5000.0,-4052.7513,-3284.993,-2528.3663,-1625.44,-1136.8574,-545.5736,1500.0,1500.0,1500.0,1500.0,1500.0
8,-2280.641,-4309.8235,-2167.6986,-2055.8421,2096.348,-2464.0978,1094.1365,3073.0312,-803.27838,-5000.0,-4575.6422,-4189.7367,-3979.2485,-3216.3899,-2483.6271,-1578.4522,-1146.3411,-642.10824,1500.0,1500.0,1500.0,1500.0,1500.0
9,-2174.4195,-4503.9846,-3482.8092,-1681.3798,-575.27449,1473.6753,5000.0,5000.0,1988.629,2894.3963,-3579.9261,-3225.4811,-4087.747,-3409.3183,-2609.5709,-1726.533,-1296.3616,-654.48338,1500.0,1500.0,1500.0,1500.0,1500.0
10,-2110.4281,-728.66824,508.96475,934.33867,2188.1437,-1245.7186,2288.0373,-1764.6854,734.49717,1615.1435,232.07067,684.58074,-4086.523,-3301.4307,-2520.2608,-1609.7221,-1179.0062,-568.96677,1500.0,1500.0,1500.0,1500.0,1500.0
11,-2202.1889,-1501.0695,474.45542,215.58863,2270.2556,1506.1618,5000.0,2445.0159,5000.0,-1802.4106,-5000.0,-5000.0,-4133.474,-3345.2206,-2516.1003,-1659.5334,-1226.669,-579.72928,1500.0,1500.0,1500.0,1500.0,1500.0
12,-2330.3946,-1074.5937,-1160.8363,-556.12421,2154.2669,4320.6905,125.33657,-112.58522,2341.3508,3056.1226,-5000.0,-4525.8839,-3983.5158,-3266.4991,-2361.6082,-1531.2946,-1121.2203,-527.18426,1500.0,1500.0,1500.0,1500.0,1500.0
13,-2429.6439,647.47866,1004.7083,-1376.1532,2189.3448,1505.8448,5000.0,5000.0,0.32522836,-5000.0,-4543.486,-4043.0891,-4226.8739,-3500.155,-2669.9232,-1760.7375,-1336.8745,-624.581,1500.0,1500.0,1500.0,1500.0,1500.0
14,-2430.5682,-2760.528,-2165.0049,-2157.966,2200.5591,3186.0765,-1954.8948,-15.485295,-5000.0,-4205.2461,-5000.0,-4507.8576,-4231.8045,-3553.3758,-2693.2147,-1793.4413,-1302.4959,-591.43083,1500.0,1500.0,1500.0,1500.0,1500.0
15,-2338.0108,-3055.1518,-2130.0001,-1314.0978,2277.4171,4354.8746,3041.1544,5000.0,830.77217,1555.6268,2084.7996,2677.8441,-4257.7079,-3497.2815,-2623.9533,-1806.3636,-1344.4445,-646.30229,1500.0,1500.0,1500.0,1500.0,1500.0
16,-2227.3077,-2668.2524,-1552.6608,-2646.9828,2204.7497,-1937.9077,1581.4206,3613.0634,2157.8923,-5000.0,-5000.0,-5000.0,-4205.3318,-3436.7327,-2517.0234,-1625.4429,-1167.05,-495.47289,1500.0,1500.0,1500.0,1500.0,1500.0
17,-2186.8957,-3090.151,-3840.9124,-2043.3653,2234.703,-1446.2919,509.4824,2500.6217,5000.0,5000.0,-1530.6526,-5000.0,-3939.0081,-3195.4048,-2425.0202,-1621.0317,-1224.9554,-509.92522,1500.0,1500.0,1500.0,1500.0,1500.0
18,-2093.5961,-2292.3504,-3536.8236,-2400.202,2262.3978,4365.0283,5000.0,-70.578468,2403.3845,3183.3065,3805.5248,-3800.9493,-4070.8096,-3259.8804,-2403.5873,-1566.6055,-1186.7551,-529.36221,1500.0,1500.0,1500.0,1500.0,1500.0
19,-2373.3418,-3674.2847,-2201.1797,-1736.1027,-5000.0,-2901.7616,599.53803,2641.178,-1901.4334,-1074.9079,-591.76461,-5000.0,-4259.5112,-3512.4035,-2612.9427,-1758.59,-1279.6358,-538.8559,1500.0,1500.0,1500.0,1500.0,1500.0
20,-2462.7483,-2648.4,-2138.9432,-475.96983,2231.2117,3083.2752,-2351.1501,-370.14739,2082.0282,2934.9051,3359.2629,3935.4871,-4304.5336,-3502.4961,-2553.0088,-1751.838,-1268.7074,-484.52127,1500.0,1500.0,1500.0,1500.0,1500.0
21,-1876.9495,-4548.1704,-5000.0,-2153.794,2273.0307,-3797.7307,-916.52679,1051.7281,3404.4865,4237.3201,-5000.0,-4483.7192,-4133.3232,-3399.8341,-2536.054,-1720.2084,-1198.0295,-440.71534,1500.0,1500.0,1500.0,1500.0,1500.0
22,-2349.9784,-4895.4885,-4789.4932,-2814.7336,108.39205,2144.9054,-2218.7059,-250.28462,2262.1608,3107.6324,-5000.0,-5000.0,-3958.8119,-3164.4233,-2372.6539,-1614.1483,-1185.7151,-518.02536,1500.0,1500.0,1500.0,1500.0,1500.0
23,-2233.472,-4635.6742,-3678.5686,-1165.2856,2228.5391,-1660.9756,-5000.0,-5000.0,-5000.0,-4201.3924,-3529.9095,-3076.268,-4156.3873,-3358.2674,-2446.07,-1679.188,-1221.3044,-500.37149,1500.0,1500.0,1500.0,1500.0,1500.0
24,-2190.0884,-4538.9269,-5000.0,-3244.0143,-2610.9292,-586.85276,2858.1184,5000.0,1775.8488,2540.8364,-4020.7085,-5000.0,-3876.5651,-3047.2676,-2203.7173,-1443.5943,-1045.0795,-409.84684,1500.0,1500.0,1500.0,1500.0,1500.0
