hour,total_demand,total_generation,wind_generation,gas_generation,nuclear_generation,wind_available,wind_curtailment,storage_charge,storage_discharge,load_shedding
0,113235.03081712821,25066.141512000002,14618.784952,8047.35656,2400.0,29781.81320171868,15163.02824971868,300.0,200.0,88268.88923999999
1,101604.81038085517,23763.441914000003,13316.085353999997,8047.35656,2400.0,25086.919951761818,11770.834597761821,0.0,550.0,77291.36880000001
2,86308.16927158141,23181.437639,12734.081078999996,8047.35656,2400.0,25454.911195890345,12720.830116890349,0.0,550.0,62576.7315
3,80522.35697790461,23018.270605000005,12570.914045,8047.35656,2400.0,26033.67409717208,13462.76005217208,0.0,300.0,57204.0864
4,90165.30637495837,23639.690852000007,13192.334292000001,8047.35656,2400.0,23222.224804024267,10029.890512024265,0.0,250.0,66275.6157
5,109380.90701161747,25083.172899000005,14635.816339,8047.35656,2400.0,26007.873975591894,11372.057636591893,0.0,0.0,84297.7343
6,124989.68566055656,24876.469158,14429.112597999998,8047.35656,2400.0,22757.179421489942,8328.066823489944,0.0,0.0,100113.2165
7,126516.00307208969,25237.498583000004,14790.142023,8047.35656,2400.0,25775.39546991646,10985.25344691646,0.0,0.0,101278.5044
8,114156.67664708235,24511.126581000004,14063.770021,8047.35656,2400.0,28183.915236092624,14120.145215092623,0.0,0.0,89645.55000000002
9,98623.42379830468,24007.965224000007,13560.608664000001,8047.35656,2400.0,28533.410821222496,14972.802157222495,0.0,0.0,74615.4586
10,92979.1398988091,23706.544624000006,13259.188064000002,8047.35656,2400.0,20091.09663790654,6831.908573906538,0.0,0.0,69272.59530000002
11,102684.2598795031,24462.734075000004,14015.377514999998,8047.35656,2400.0,22419.146125432027,8403.76861043203,0.0,0.0,78221.52590000001
12,121432.36935956641,24651.097594000006,14203.741034,8047.35656,2400.0,21729.847896553292,7526.106862553292,0.0,0.0,96781.27189999999
13,135946.04648064196,25806.282450000002,15358.925889999999,8047.35656,2400.0,23415.813609953475,8056.887719953476,0.0,0.0,110139.7635
14,136081.209903101,25692.219090000006,15244.862530000002,8047.35656,2400.0,22890.508911082634,7645.646381082632,0.0,0.0,110388.9905
15,122546.12188226433,25257.639501,14810.282941,8047.35656,2400.0,24762.147588583695,9951.864647583696,0.0,0.0,97288.48247099998
16,106357.49615029007,24494.72635700001,14047.369797000005,8047.35656,2400.0,19791.735864519233,5744.366067519228,0.0,0.0,81862.76980000001
17,100447.87932489335,24313.791077000005,13866.434517,8047.35656,2400.0,23404.05340678024,9537.61888978024,0.0,0.0,76134.08810000001
18,109814.82762275719,24663.291670000006,14215.93511,8047.35656,2400.0,19484.228749712744,5268.293639712743,0.0,0.0,85151.53620000002
