bus,carrier,capacity_mw,total_generation_mwh,capacity_factor_pct
Bus1,onshore wind,10000.0,1968.220683,0.11715599303571428
Bus2,onshore wind,10000.0,101775.023164,6.058037093095238
Bus3,onshore wind,10000.0,440957.67121,26.247480429166664
Bus4,onshore wind,10000.0,586269.8340400001,34.89701393095238
Bus5,onshore wind,10000.0,756238.36247,45.01418824226191
Bus6,onshore wind,500.0,26097.346705,31.06826988690476
Bus7,onshore wind,500.0,26179.648194,31.16624785
Bus8,onshore wind,500.0,25245.152710000002,30.053753226190477
Bus9,onshore wind,500.0,26532.951162,31.58684662142857
Bus10,onshore wind,500.0,25914.080654999998,30.850096017857144
Bus11,onshore wind,500.0,25389.751983000002,30.225895217857147
Bus12,onshore wind,500.0,25379.289842,30.213440288095235
Bus13,onshore wind,500.0,25008.396238,29.771900283333334
Bus14,onshore wind,500.0,25308.949882,30.129702240476192
Bus15,onshore wind,500.0,25908.030784,30.84289379047619
Bus16,onshore wind,500.0,26235.546445,31.23279338690476
Bus17,onshore wind,500.0,24470.856008999996,29.13197143928571
Bus18,onshore wind,500.0,25360.149914,30.190654659523812
Bus19,onshore wind,500.0,24714.722875,29.422289136904762
Bus20,onshore wind,500.0,26215.917675999997,31.209425804761903
Bus1,gas,494.338644844741,0.0,0.0
Bus2,gas,435.6745158869479,0.0,0.0
Bus3,gas,714.3687545759647,0.0,0.0
Bus4,gas,478.37666334679466,0.0,0.0
Bus5,gas,440.4672548436904,0.0,0.0
Bus6,gas,571.3480415791242,95986.47071999998,99.99999972361428
Bus7,gas,370.4621124873813,62237.63447999999,99.99999932857335
Bus8,gas,701.0984903770199,117784.54632000002,99.99999994622443
Bus9,gas,337.2753218398854,56662.25376000001,99.99999945448563
Bus10,gas,793.4434683002587,133298.50296,100.00000021422338
Bus11,gas,686.1223846483288,115268.55983999997,99.99999932252189
Bus12,gas,399.3578407670862,67092.11712000001,99.9999998079201
Bus13,gas,302.7610585618012,50863.85807999999,100.00000047502766
Bus14,gas,707.7307142274171,118898.75927999998,99.99999940267999
Bus15,gas,653.4286719238086,109776.01656000002,99.99999970558248
Bus16,gas,664.5035840204937,111636.60144000003,99.99999939496284
Bus17,gas,685.6351733429728,115186.70855999998,99.99999951242687
Bus18,gas,337.0223258670452,56619.75143999999,100.00000122631482
Bus19,gas,479.23286427213634,80511.12048,99.99999910854686
Bus20,gas,357.93452976256486,60133.00104,100.0000000663348
Bus2,nuclear,1200.0,0.0,0.0
Bus8,nuclear,1200.0,201600.0,100.0
Bus14,nuclear,1200.0,201600.0,100.0
