acid,epoxide
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(NCCCOCCO)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,O=C(O)c1ccc(OCCNC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)cc1
COc1ccc(NC(=O)C(=O)NC(COCC(=O)O)COCC(=O)O)cc1,COc1cc(C)ccc1CNC(=O)c1ccc2ccc(OCC3CO3)cc2c1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,Cc1ccc(CC(=O)Nc2cc(C)c(OCC3CO3)c(C)c2)cc1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(Nc1cc(COCC2CO2)cc(COCC2CO2)c1)c1cccc(OCc2cccnc2)c1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,NCC(=O)Nc1cc(COCC2CO2)cc(COCC2CO2)c1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,Cc1cc(OCC2CO2)nc2ccc(NC(=O)c3cccnc3OCC3CO3)cc12
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(CCCCOCC1CO1)Nc1ccc(CCOCC2CO2)cc1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,Cc1cc(C)c(OCC2CO2)cc1NC(=O)c1ccc2ccccc2c1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(Nc1cccc(NC(=O)c2c(OCC3CO3)cccc2OCC2CO2)c1)c1ccncc1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,Cc1ccccc1NC(=O)CCNC(COCC1CO1)COCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(CCCCc1ccccc1)Nc1ccc(COCC2CO2)c(COCC2CO2)c1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(NCc1ccc(OCC2CO2)cc1OCC1CO1)C1CCN(C(=O)c2ccccc2)C1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,COc1ccc(C(=O)NC(C)CCCC2CO2)c(OCC2CO2)c1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(Nc1cnn(Cc2cccnc2)c1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,O=C(NC1CCN(Cc2ccccc2)C1)c1ccc(OCC2CO2)cc1OCC1CO1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,CCC1CCC(C(=O)NCc2ccc(OCC3CO3)cc2OCC2CO2)CC1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,COCCc1cc(OCC2CO2)ccc1NC(=O)c1cc(OCC2CO2)nc2ccccc12
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,CCN(CC)C(=O)c1cccc(NC(=O)COC(=O)c2ccc(OCC3CO3)cc2OCC2CO2)c1
O=C(O)COCCN(CCOCC(=O)O)CC(=O)NCc1cccnc1,Cc1ccc(OCC2CO2)c(NC(=O)c2ccc(OCC3CO3)cn2)n1
