region,region_folder,data_group,dataset_id,year,unit,annual_change,annual_error,n_segments
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2000,mwe,-0.37151208482472,0.23562011099474803,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2001,mwe,-0.5407392360060694,0.23548743816813486,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2002,mwe,-0.47019170527053417,0.23558228158251018,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2003,mwe,-0.2913890836787234,0.2357402017658347,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2004,mwe,-0.3380497666041164,0.23560775746219104,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2005,mwe,-0.3224553862848568,0.23558021374691343,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2006,mwe,-0.5820388183301206,0.23571050697603776,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2007,mwe,-0.6966487495795792,0.23576324717934596,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2008,mwe,-0.6973987921731558,0.2356507369177252,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2009,mwe,0.10834215352035627,0.23560317825224103,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2010,mwe,-0.40271266864795596,0.23552582941901176,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2011,mwe,-0.7267751003527265,0.23568237497256736,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2012,mwe,-0.8999002215474061,0.23798335097662154,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2013,mwe,-0.6311014254599154,0.2571125351370104,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2014,mwe,-0.7847499170690644,0.25704335446475196,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2015,mwe,-0.7337753157663461,0.2570888395571289,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2016,mwe,-0.4384565411733351,0.25711926688118236,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2017,mwe,-0.8651728483042791,0.2570472613362965,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2018,mwe,-0.49481459745217654,0.2550302759178257,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2019,mwe,-0.47963886094378383,0.23568132502570843,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2020,mwe,-0.6155884467344888,0.2358638883992986,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2021,mwe,-0.7248148908656236,0.23557870315829757,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2022,mwe,-0.9164934806161606,0.2354778819952749,2
north_asia,10_north_asia,combined,DUS-combined_Dussaillant_et_al,2023,mwe,-0.8143155019565173,0.23672166789515617,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2000,mwe,0.131275,0.2052955430592686,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2001,mwe,-0.949225,0.3490107170632444,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2002,mwe,-1.5910499999999999,0.4084978312365929,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2003,mwe,-1.297825,0.270298683172893,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2004,mwe,0.032075000000000006,0.34869674951883334,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2005,mwe,-0.007699999999999985,0.1715905828564027,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2006,mwe,-0.45349999999999996,0.22281412937693154,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2007,mwe,-0.512675,0.21662449797979913,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2008,mwe,-0.24882500000000002,0.1544215597803623,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2009,mwe,-0.14354999999999998,0.14278144574838847,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2010,mwe,-0.43145,0.12140637596518562,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2011,mwe,-1.14995,0.13132952828667283,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2012,mwe,-0.5672750000000001,0.1330037710931536,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2013,mwe,0.2764,0.15615292584514706,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2014,mwe,0.08107500000000001,0.18935911979622214,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2015,mwe,-1.076475,0.16414020302777746,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2016,mwe,-0.5301499999999999,0.12755650218628606,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2017,mwe,-1.074725,0.18213843807664543,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2018,mwe,-0.8426,0.19120366268719854,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2019,mwe,-0.294775,0.14010926316628747,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2020,mwe,-0.31752499999999995,0.17286487678241638,2
north_asia,10_north_asia,combined,Huss_Huss_et_al,2021,mwe,0.052725,0.168375,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2000,m,-0.51,0.21200000000000002,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2001,m,-0.51,0.21200000000000002,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2002,m,-0.51,0.21200000000000002,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2003,m,-0.51,0.21200000000000002,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2004,m,-0.51,0.21200000000000002,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2005,m,-0.5910000000000001,0.192,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2006,m,-0.5910000000000001,0.192,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2007,m,-0.5910000000000001,0.192,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2008,m,-0.5910000000000001,0.192,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2009,m,-0.5910000000000001,0.192,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2010,m,-0.652,0.20400000000000001,1
north_asia,10_north_asia,demdiff,ETH_Hugonnet_et_al,2011,m,-0.652,0.20400000000000001,1
