region,year,altimetry,gravimetry,demdiff_and_glaciological,method_count,spread_gt
alaska,2000,,,22.89468820624756,1,
alaska,2001,,,-21.045695933607856,1,
alaska,2002,,,-48.98136706230754,1,
alaska,2003,,-87.92738716511107,-64.32174384473718,2,23.605643320373886
alaska,2004,,-139.23058873137472,-161.41094086201596,2,22.18035213064124
alaska,2005,,-43.90541401285668,-106.725633163949,2,62.82021915109232
alaska,2006,,-14.115669797901775,-37.5256273835286,2,23.409957585626827
alaska,2007,,-68.55864583230799,-38.55937779516261,2,29.999268037145377
alaska,2008,,31.081908200211178,63.078341247808574,2,31.996433047597396
alaska,2009,,-100.19389318168297,-89.19131748833063,2,11.002575693352341
alaska,2010,,-74.73075763006644,-64.67011676105935,2,10.060640869007088
alaska,2011,-99.26949330057543,-29.862247333804408,-94.88385834495244,3,69.40724596677103
alaska,2012,86.80720215590523,99.64692701058928,44.34960183816178,3,55.2973251724275
alaska,2013,-102.24804532795106,-118.66146976568842,-122.22225053191283,3,19.974205203961773
alaska,2014,-111.3533510613561,-77.71652884944501,-95.55134250000305,3,33.63682221191108
alaska,2015,-95.87992987234615,-103.39518398358835,-98.85583239477504,3,7.5152541112422
alaska,2016,-98.51002872748924,-52.79338513416899,-79.85795011157167,3,45.71664359332025
alaska,2017,-60.32982765083345,-72.69837676800213,-101.55508369918616,3,41.225256048352705
alaska,2018,-106.8201360519176,-105.66608303228402,-121.00018782666582,3,15.334104794381801
alaska,2019,-123.9585941747834,-200.91507227352372,-165.75505781237266,3,76.95647809874032
alaska,2020,,-5.391463959084393,-73.9843227729038,2,68.5928588138194
alaska,2021,,-38.7577965024696,-52.991824273038354,2,14.234027770568751
alaska,2022,,0.3610710599941789,-91.50651771360866,2,91.86758877360283
alaska,2023,,,-108.36891537840911,1,
antarctic_and_subantarctic,2001,,,-0.1340362833502666,1,
antarctic_and_subantarctic,2002,,,-48.939583593313095,1,
antarctic_and_subantarctic,2003,,,-44.82697918351864,1,
