region,area_2000_km2,area_2023_km2,total_gt_2000_2023,mean_gt_per_year,total_mwe_2000_2023,mean_mwe_per_year,mean_annual_uncertainty_gt,area_change_pct
alaska,89847.1,80272.66,-1473.8598965717972,-61.41082902382488,-17.568665199028636,-0.7320277166261931,34.57925678200215,-10.656370656370658
greenland_periphery,89349.1603,72428.5341,-850.4780845137108,-35.436586854737946,-10.718524616672573,-0.4466051923613572,34.47702826355447,-18.937644341801384
arctic_canada_north,105000.63345,103308.34635,-730.2377194967462,-30.42657164569776,-7.034226251480368,-0.2930927604783487,12.340411357970055,-1.611692276890723
southern_andes,29402.5139,28184.1533,-630.7891720171691,-26.282882167382045,-22.062116110205643,-0.9192548379252351,32.52273323076262,-4.143729356420779
arctic_canada_south,40871.6448,40119.3056,-552.2424313440208,-23.010101306000866,-13.68148310253536,-0.5700617959389733,10.150230071639518,-1.8407362945178123
antarctic_and_subantarctic,127665.25695,119414.21625,-427.6596876965488,-17.819153654022866,-3.4913940144181694,-0.14547475060075707,42.02470979940596,-6.463027527709839
russian_arctic,51612.6368,50663.344,-384.42767456889004,-16.017819773703753,-7.5639889489085945,-0.3151662062045248,10.616941259931396,-1.8392642942822928
svalbard,34444.6137,32413.8655,-331.08363639456326,-13.795151516440136,-10.036307971254981,-0.4181794988022909,7.134134301741303,-5.895691609977329
central_asia,49702.3543,47661.2101,-251.6272739530213,-10.484469748042555,-5.2273325961214585,-0.2178055248383941,13.521235842538799,-4.106735442912415
western_canada_us,14563.2148,12759.334,-221.84715123127052,-9.243631301302939,-16.673604836645087,-0.6947335348602119,5.109690480791484,-12.386556297995405
iceland,11000.276,10084.508,-199.07746929543939,-8.294894553976642,-18.817933473282405,-0.7840805613867668,6.166974728386488,-8.324954755680675
south_asia_east,14907.1245,13314.3791,-176.52050865588853,-7.355021193995356,-12.646449439393278,-0.5269353933080533,5.784887799150372,-10.684457622930564
south_asia_west,33507.5776,30728.1472,-134.66267933090631,-5.610944972121096,-4.231481075521808,-0.17631171148007532,8.198705044600267,-8.29493087557603
central_europe,2140.639,1693.1602,-47.32990613943336,-1.97207942247639,-25.47671686456788,-1.061529869356995,0.47472514192793697,-20.903982408990963
scandinavia,2960.94345,2777.81055,-40.03250661957988,-1.6680211091491615,-13.982451583737417,-0.5826021493223924,0.6431657310317301,-6.184950948657938
north_asia,2487.7225,2249.3735,-32.52444754937645,-1.355185314557352,-13.835739993262058,-0.5764891663859191,0.6384344112200778,-9.581012351658988
low_latitudes,2354.92895,1714.1972500000002,-20.40100296290808,-0.85004179012117,-10.097280072134895,-0.4207200030056206,0.6574648419394447,-27.2081117351757
new_zealand,981.5995,797.1901,-19.990888860633756,-0.8329537025264065,-23.058517222801463,-0.960771550950061,0.6728328762614924,-18.786623261319917
caucasus_middle_east,1282.75515,1123.43185,-17.67849082597917,-0.7366037844157988,-14.925932107508517,-0.6219138378128549,0.3283562942285668,-12.420398390137043
