region,data_group,datasets,covered_years,unit
alaska,altimetry,1,11,m
alaska,combined,4,24,mwe
alaska,demdiff,1,20,m
alaska,glaciological,2,24,mwe
alaska,gravimetry,5,22,Gt
antarctic_and_subantarctic,altimetry,3,21,m
antarctic_and_subantarctic,combined,2,24,mwe
antarctic_and_subantarctic,demdiff,1,20,m
antarctic_and_subantarctic,glaciological,2,24,mwe
arctic_canada_north,altimetry,4,21,m
arctic_canada_north,combined,5,24,mwe
arctic_canada_north,demdiff,2,22,m
arctic_canada_north,glaciological,2,24,mwe
arctic_canada_north,gravimetry,7,22,Gt
arctic_canada_south,altimetry,4,21,m
arctic_canada_south,combined,5,24,mwe
arctic_canada_south,demdiff,2,22,m
arctic_canada_south,glaciological,2,24,mwe
arctic_canada_south,gravimetry,7,22,Gt
caucasus_middle_east,combined,2,24,mwe
caucasus_middle_east,demdiff,1,20,m
caucasus_middle_east,glaciological,2,24,mwe
caucasus_middle_east,gravimetry,2,20,Gt
central_asia,altimetry,4,22,m
central_asia,combined,3,24,mwe
central_asia,demdiff,2,20,m
central_asia,glaciological,2,24,mwe
central_asia,gravimetry,4,22,Gt
central_europe,combined,2,24,mwe
central_europe,demdiff,2,20,m
central_europe,glaciological,2,24,mwe
central_europe,gravimetry,3,21,Gt
greenland_periphery,altimetry,5,22,m
greenland_periphery,combined,3,24,mwe
greenland_periphery,demdiff,3,22,m
greenland_periphery,glaciological,2,24,mwe
iceland,altimetry,3,11,m
iceland,combined,6,24,mwe
iceland,demdiff,4,22,m
iceland,glaciological,2,24,mwe
iceland,gravimetry,7,22,Gt
low_latitudes,combined,2,24,mwe
low_latitudes,demdiff,4,20,m
low_latitudes,glaciological,1,24,mwe
low_latitudes,gravimetry,3,21,Gt
new_zealand,combined,2,24,mwe
new_zealand,demdiff,1,20,m
new_zealand,glaciological,2,24,mwe
new_zealand,gravimetry,4,22,Gt
north_asia,combined,2,24,mwe
north_asia,demdiff,1,20,m
north_asia,glaciological,2,24,mwe
north_asia,gravimetry,3,21,Gt
russian_arctic,altimetry,3,18,m
russian_arctic,combined,4,24,mwe
russian_arctic,demdiff,3,22,m
russian_arctic,glaciological,2,24,mwe
russian_arctic,gravimetry,7,22,Gt
scandinavia,combined,2,24,mwe
scandinavia,demdiff,3,21,m
scandinavia,glaciological,2,24,mwe
scandinavia,gravimetry,3,21,Gt
south_asia_east,altimetry,4,22,m
south_asia_east,combined,3,24,mwe
south_asia_east,demdiff,3,20,m
south_asia_east,glaciological,2,24,mwe
south_asia_east,gravimetry,3,21,Gt
south_asia_west,altimetry,4,22,m
south_asia_west,combined,3,24,mwe
south_asia_west,demdiff,2,20,m
south_asia_west,glaciological,2,24,mwe
south_asia_west,gravimetry,3,21,Gt
southern_andes,altimetry,1,11,m
southern_andes,combined,2,24,mwe
southern_andes,demdiff,4,20,m
southern_andes,glaciological,2,24,mwe
southern_andes,gravimetry,6,22,Gt
svalbard,altimetry,3,18,m
svalbard,combined,4,24,mwe
svalbard,demdiff,2,22,m
svalbard,glaciological,2,24,mwe
svalbard,gravimetry,7,22,Gt
western_canada_us,altimetry,2,10,m
western_canada_us,combined,2,24,mwe
western_canada_us,demdiff,1,20,m
western_canada_us,glaciological,3,24,mwe
western_canada_us,gravimetry,4,22,Gt
