region,years_with_multi_method,mean_spread_gt,max_spread_gt
antarctic_and_subantarctic,20,37.91820880118176,113.75832046324606
alaska,20,37.741645019696804,91.86758877360283
greenland_periphery,21,33.424780480344005,62.81070881765926
southern_andes,20,33.00714432288341,83.64518943304972
arctic_canada_north,21,16.665253221192113,37.87319879935234
arctic_canada_south,21,15.05008731376544,29.971875487630335
russian_arctic,20,13.712193374059373,28.333348881337603
central_asia,21,10.023374478845641,44.04558042535671
svalbard,20,8.815362569854155,25.819676540820353
iceland,20,7.490445862608818,14.87261023722889
south_asia_west,21,4.715545021693233,20.851539807379325
south_asia_east,21,3.5023158634941827,19.514207841991553
western_canada_us,10,2.566076654152321,4.590763976493134
caucasus_middle_east,0,,
central_europe,0,,
low_latitudes,0,,
new_zealand,0,,
north_asia,0,,
scandinavia,0,,
