dataset,map_file,map_h,map_w,agents,obstacle_ratio,method,runtime_sec,success,collisions,soc,makespan,init_collisions,final_collisions,accepted,iters
random_small,eval_map_1.npy,10,10,21,0.16,pp_random,0.0048868656158447266,0,5.0,163.0,18.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,pp_marl,0.048413753509521484,0,8.0,200.0,17.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,hybrid_lns,0.8738985061645508,0,7.0,199.0,18.0,8.0,7.0,20,20
random_small,eval_map_1.npy,10,10,21,0.16,pp_random,0.00360107421875,0,6.0,137.0,15.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,pp_marl,0.004313468933105469,0,4.0,131.0,12.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,hybrid_lns,0.03854680061340332,0,4.0,131.0,12.0,4.0,4.0,20,20
random_small,eval_map_1.npy,10,10,21,0.16,pp_random,0.028672218322753906,0,11.0,166.0,16.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,pp_marl,0.04381251335144043,0,9.0,172.0,17.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,hybrid_lns,1.054692268371582,0,4.0,167.0,16.0,9.0,4.0,20,20
random_small,eval_map_1.npy,10,10,21,0.16,pp_random,0.005922794342041016,0,2.0,190.0,19.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,pp_marl,0.04089713096618652,0,4.0,188.0,16.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,hybrid_lns,0.8656105995178223,0,4.0,199.0,16.0,4.0,4.0,20,20
random_small,eval_map_1.npy,10,10,21,0.16,pp_random,0.006846189498901367,0,6.0,156.0,25.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,pp_marl,0.04485058784484863,0,7.0,163.0,23.0,,,0,0
random_small,eval_map_1.npy,10,10,21,0.16,hybrid_lns,0.6741294860839844,0,5.0,163.0,23.0,7.0,5.0,20,20
random_small,eval_map_10.npy,10,10,20,0.18,pp_random,0.034293413162231445,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_marl,0.03463244438171387,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,hybrid_lns,0.03541302680969238,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_random,0.0009739398956298828,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_marl,0.0014905929565429688,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,hybrid_lns,0.0014925003051757812,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_random,0.031045198440551758,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_marl,0.001859903335571289,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,hybrid_lns,0.0018076896667480469,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_random,0.0013608932495117188,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_marl,0.0017631053924560547,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,hybrid_lns,0.0017857551574707031,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_random,0.03438091278076172,0,,,,,,0,0
random_small,eval_map_10.npy,10,10,20,0.18,pp_marl,0.0017580986022949219,0,,,,,,0,0
