scenario,hour,storage,bus,charge_MW,discharge_MW,soc_MWh
baseline_2025,0,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,0,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,0,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,1,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,1,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,1,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,2,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,2,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,2,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,3,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,3,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,3,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,4,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,4,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,4,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,5,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,5,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,5,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,6,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,6,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,6,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,7,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,7,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,7,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,8,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,8,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,8,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,9,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,9,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,9,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,10,PHS_0_Bus1,Bus1,0.0,-0.0,0.0
baseline_2025,10,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,10,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,11,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,11,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,11,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,12,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,12,PHS_1_Bus3,Bus3,0.0,-0.0,-0.0
baseline_2025,12,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,13,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,13,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,13,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,14,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,14,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,14,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,15,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,15,PHS_1_Bus3,Bus3,0.0,0.0,0.0
baseline_2025,15,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,16,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,16,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,16,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,17,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,17,PHS_1_Bus3,Bus3,0.0,0.0,-0.0
baseline_2025,17,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,18,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,18,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,18,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
baseline_2025,19,PHS_0_Bus1,Bus1,0.0,0.0,0.0
baseline_2025,19,PHS_1_Bus3,Bus3,0.0,-0.0,0.0
baseline_2025,19,PHS_2_Bus12,Bus12,0.0,0.0,-0.0
